OTQ	OTS
"nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra thuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja"	"nu'a ma r'a ya jä'i mi pädi nuña b'efi bri b'epabi xa hyoki yoho ya mpe̱fi mi fädi ko ra tuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja"
"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]."
nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estadus.
"nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,"	"nub'u ri m'ehni ne ri b'ego ya ñämfo bi juat'i ko ngekagihe ne bi tsoho ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o't'e ne xi ra nzunda maría trinidad"
"nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo."	"nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo."
"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla."
"nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."	"nuna hem'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."
"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
"nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."	"nuna m'ehna nt'oho b'etsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfadi ha ra nt'oho ya zubi po ra y'oho ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."
"nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."	"nuna nt'ofo b'ätsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."
"nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai."	"nuna pika hem'i ja te mä b'etsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu ngu ya nzaya nuni manhyati ne mar'a ya hnini, ote gi ode ra hña ra mudimehai."
"nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado."	"nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱i n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra Alvarado."
"nuua ya mu̱di noya ra motolinia, ha ra mu̱di nkohi bi t'o̱t'e ko ra thuhu ra tratado tercero ra dänga b´ede ya mu̱dimehai nuua r´ayo manhyati:"	"nuua ya mudi noya ra motolinia, ha ra mudi nkohi bi t'ote ko ra thuhu ra tratado tercero ra dangabe de ya mudimehai nuua rayo manhyati"
"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu fe̱ti nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fe̱ta nu'a majuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfadi gatho nu'u bi nja, n'a di ge'u ko ngu feti nu'a majuani mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u'i man'a ra mfadi da t'o't'a ra nt'udi, nu'a ra thuhu ""feti nu'a majuani bi nja nub'u ra tsokat'o'tamfeni (teatro de la conquista)""."
"ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"	"ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"
"ra fernando ramírez mä ge nuna hyodi ri nge̱pu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,"	"ra fernando ramírez mä ge nuna hyodi ri ngäpu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,"
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämphi ne ra fu̱di ra nganfri ra evangelio""."
"ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"	"ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"
"ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo"	"ra raymundo isidro alavez, bi b'ui'i nuni ra boxtah chico, san salvador, estado de hidalgo"
"ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."	"ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."
"ra makja mra thuhu ra toribio benavente, motolinia,"	"ra makja mra thuhu ra toribio benavente, motolinia"
"tlauhquechol: ra ts'ints'u̱ xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra the̱nga ts'ints'u̱ ne dänga."	"tlauhkechol: ra ts'ints'u xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra the̱nga ts'ints'u ne dänga."
"xkri tso̱ngä ngosthi, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za. antes de"	"xkri tso̱ngä ngosthi, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za. antes de"
"ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas)."	"ya b'ego ne ya b'etri di ge'a nu'a ra dangga nda ra ndada ra tuhu ra Esteban de Guzmán ra nzaya di gekua m'onda, ra ndada ra Hernando Pimentel, ra ndada ra Antonio Cortés, ra ndada xuua (Juan) nuna ra Mecoacan, ra ndada Pedro Motecuhzoma, me ma r'a ya kuanmi (firmas)."
"ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile."	"ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile"
"ya r'atsanoya ra sahagán, ndoxjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)."	"ya r'atsanoya ra sahagán, ndoxjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)."
despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra txarroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra txarroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ ntxúi mitsu̱ k'a ra txarro mi'óbí k'a ra mikwála	despwés ya xo bimufí pe xo diario diario bu ntxúi mitsu k'a ra txarro mi'óbí k'a ra mikwála
gopareháhé primero 'á k'a ra parte ánk'ú dínant'í	gopareháhé primero 'á k'a ra parte ánk'ú dínant'í
i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi	i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi
indu̱odiagí bastante	indu̱odiagí baste
"inga se̱he̱ ra nnthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,"	"inga se̱he̱ ra nthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana"
k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé	k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé
kómá'u̱té ya fuente níhí	kómá'u̱té ya fuente níhí
"ne bi unbabi ndunthi ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio,"	"ne bi umbabi ndunthi ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio"
normalmente góho	normalmente góxo
panteón ga dó	panteón ga dó
pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé	pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé
pero eso sí binúhgí mängŭhé kada ná	pero eso sí binúhgí mäŋŏhé kada ná
"po nuya ja'i to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""	"po nuya xa'i to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""
pues este kábádá balewa este mínimo siento sinkwenta	pues este kabada balewa este minimo siento sinkuenta
pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya
"ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."	"ra ngku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."
solamente ya riko alkansabi	solamente ya riko alkansavi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndaŋi
xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	xu mitahá ra ntsoya mitá sínko pesos ra béña dos sinkwenta
xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a	xo taya mä sesenta wik'a taya mä sesenta bitahkíhéya'wik'a
á panteón ga dó níhí	á pántiun ga dó níhí
ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñúdigehña dabadihíya' razo''ya' mientra má' dándu̱hté
"-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra hyodi estado de méxico ne mar'a ya hyodi nuni puebla ne veracruz"	"-nu'u dige'u bui nuni maxey (tolimán ne amealco), dige'u temoaya nuni ra ra hyodi estado de méxico ne mar'a ya hyodi nuni puebla ne veracruz"
"ne mätahekitho di ja getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä."	"ne mätahekitho di ja getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä."
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma hñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi hoki ra xihuitl o ""ra m'ede ra je̱ya"""	"-n'ate pa n'a ra tsänä de ra r'e̱ta ma hñäto ""tsänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi hoki ra xihuitl o ""ra m'ede ra je̱ya"""
bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra Izcalli.	bi ma di gepu ham'u ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra Ixcalli.
bi mu̱di da hyoka ya t'u̱kats'u̱fabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.	bi mu̱di da hyoka ya t'u̱kats'u̱fabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.
"bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan."	"bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan"
bri ts'u̱tuabi ha ra y'u̱ga n'a ra nto̱de dega t'u̱ka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja.	bri ts'utuabi ha ra y'uga n'a ra ntode dega t'uka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja
"Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala."	"Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala"
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'ot'ats' okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya jä'i ya metlatelolco	di gepu ba koi pa nuni ra Xochimilco. nubu ba tu ya jä'i ya metlatelolco
"ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu."	"ebu ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu."
ebu̱ bi dädi ra Cihuacóatl:	ebu̱ bi dädi ra Cihuacóatl
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl
"goho n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca)."	"goxo n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca)."
"gue dá nhuat'i mbo ja ra ximhai,"	gue nda nhuat'i mbo ja ra ximhai
"i nte ra nge'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,"	"i nte ra ngä'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl"
"inda hyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl."	"inda hyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl"
"k o ya bu̱' bai, ko ya makahuai,"	"k o ya bu̱' bai, ko ya makahuai"
"mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan."	"mi hudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan."
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka hai mra thuhu ra Yohualichan.	mi gu̱t'a ra ñ'u̱ n'a ra makya ge'a mra b'e̱fi mi zu nu'a ra mäka hai mra thuhu ra Yohualichan.
"mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi hä dega bo̱ja ne ya mahuai."	"mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi hä dega bo̱ja ne ya mahuai."
mra ngu ra Aztautzin ge'a mi ja getbu̱ nuni ra Amáxac.	mra ngu ra Aztautzin ge'a mi ja getbu̱ nuni ra Amáxac
n'a ra hyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱he̱.	n'a ra hyo ne mana bi xokwa'bi ra debi. ra Cuauhtemoctzin bri xokwa'bi ra debi ge'a se̱he̱.
"ne m'e̱fa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri njonda ya bo̱nahmu nuni Acachinanco."	"ne m'efa bi ma xki haki ya he dega magabi, ñätsi bi ntaya ra mahwai ne ra bu̱'bai, bri njonda ya bo̱nahmu nuni Acachinanco."
"ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]"	"ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano"
"ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra hnini nuni puebla],"	"ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlaxcoapan [n'a ra hnini nuni puebla],"
