OTS	OTQ
"nu'a ra munts'a kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra tjits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"	"nu'a ra mints'a kä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi käpi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra jits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kot'i [...]"
nu'u̱ to'o ñä ra ndenzä ja r'e̱t'a ma r'at'o ya estados.	ñuhu tho ñä ra ntheza ja r'et'a ma r'at'o ya estados.
"nub'u̱ ri m'e̱jni ne ri b'e̱go ya ñämfo̱ bi kjuat'i ko ngekagije ne bi tso̱jo̱ ra gabida ra tjuju ra hernán cortés, maske indi pädije ge gatjo da za da o̱t'e ne xi ra nzunda maría trinidad,"	"nub'ú ri m'äñeni ne ri b'ëgo ya ñä'ä mfö bi kjuat'i ko ngekagixe ne bi tso̱ho̱ ra gabida ra t'üt'u ra hernán cortés, maske indi pädihe ge gatjo da za da o̱t'e ne xi ra nzonda maría trinidad,"
"nubia, unga mfädi ja ra ñäjñu kjamädi ra universidad autónoma del estado de hidalgo."	"Nubya, 'na mfädi ya ra ñäñu xkamädi ya Universidad Autónoma del Estado de Hidalgo."
"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla."
"nuna je̱m'i bri t'unga mfädi ko ra t'u̱ka ntjint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."	"nuna hingi b'ri t'unga mfädi ko ra t'oka nt'ot'anfotho po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."
"nuna jñäpi juts'i ja n'a ra je̱m'i fädi ra derecho canonigo ko ra tjuju jñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna ñäpi hutsi ha n'a ra hëmi fädi ra derecho canonigo ko ra t'ut'u ñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
"nuna m'e̱jna nt'ofo b'e̱tsi ja ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ja ra nt'ofo ya zubi po ra y'ofo ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."	"nuna m'ejna nt'ofo b'ëtsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."
"nuna nt'ofo b'e̱tsi ja ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ja cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."	"nuna nt’otho b’ëtsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi hingi ra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."
"nuna pika je̱m'i kja te mä b'e̱tsi ja ra archivo general de la nación, nuua m'onda ne kja ja ra nduntji ya jnini, njabu̱ ngu ya nzaya nuni manjyati ne mar'a ya jnini, o̱t'e gi o̱de ra jñä ra mu̱dimejai."	"nuna pica häm'i kja te mä b'ëtsi ja ra archivo general de la nación, nuwa m'onda ne kja ja ra nt'unt'i ya hñeni, ñabu̱ ngu ya nzaya nuni manthi ne mar'a ya hñeni, o̱t'e gi o̱de ra ñä ra mu̱dimehai."
"nuua t'unga yojo ya jmä, kuän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäkjuäni ri ntje̱ui n'a ya dänga ra tju̱ajmä manteb'u̱, nuua pede nu'a gatjo ya ts'otjogi bi y'o̱t'a dega fete ra alvarado."	"nuä t'unga yoho ya jmä, kuän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäkjuäni ri ntjehui n'a ya dänga ra tjuajmä manteb'u, nuä pede nu'a gatjo ya ts'otjogi bi y'ot'a dega fete ra alvarado."
"nuua ya mu̱di noya ra motolinia, ja ra mu̱di nkoji bi t'o̱t'e ko ra tjuju ra tratado tercero ra dänga b´ede ya mu̱dimejai nuua r´ayo manjyati:"	"nu'u ya mudi nuya ra motolinia, ha ra mudi nkohi bi t'ot'e ko ra txutxu ra tratado tercero ra dänga b'ede ya mudimehai nu'u rayo manthiati:"
"pa da t'unga mfädi gatjo nu'u̱ bi nkja, n'a di ge'u̱ ko ngu fe̱ti nu'a makjuäni mi joki mi tjutsuabi ya jnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tjuju ""fe̱ta nu'a makjuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatjo nu'u̱ bi nkya, n'a di ge'u̱ ko ngu fethi nu'a makjuäni mi hoki mi tsutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tjuju ""fetha nu'a makjuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."
"ra europa -mra nxika jai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"	"ra europa -mra nxkiha hingi manthe̱b'u̱, mi pe̱tsa n'a ra nxkiha b'ede-"
"ra fernando ramírez mä ge nuna jyodi ri nge̱pu̱ jabu̱ kja n'a ra nikja ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,"	"ra fernando ramírez mä ge nuna yodi ri nge̱pü̱ habu̱ kja n'a ra nikja ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,"
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'eje ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñäjä ya ñämfo̱ ne ra hño ra nkäfri ra evangelio""."
"ra kuän'ajma ra n luz jiménez bi juts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña jmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"	"ra kuän'ajma ra n luz jiménez bi juts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña jmä), de porfirio díaz zapata, memoria náhuatl de milpa alta, méxico, unam, instituto de investigaciones históricas, 1974, p. 105"
"ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo"	"ra raymundo isidro alavez, bi b'ui'i nuni ra boktha chico, san salvador, estado de hidalgo"
"ra jmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."	"ra jmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v."
"ra makja mra tjuju ra toribio benavente, motolinia,"	"ra makxa mra thotho ra toribio benavente, motolinia,"
"tlauhquechol: ra ts'ints'u̱ xa ntjeni pode ge'a ra flamenco o ra guacamaya, pode ge gatjo ra tje̱nga ts'ints'u̱ ne dänga."	"Tlajkwechol: ra ts'ints'u̱ ja ntheni pode ge'a ra flamenco o ra guakamaya, pode ge gatjo ra tje̱nga ts'ints'u̱ ne dänga."
"xkri tso̱ngä ngostji, kja jejni ya 'ñu; nä'ä rí ma nxamädo, ja nä'ä rí ma mäbo̱za. antes de"	"xkri tso̱ngä ngosthi, kja hñeni ya ñu; nä'ä ri ma nxamädo, ja nä'ä ri ma mäbo̱za. antes de"
"ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra tjuju ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas)."	"ya bꞌe̱go ne ya bꞌe̱tri di geꞌa nuꞌa ra dänga ndä ra ndada ra tjuju ra esteban de guzmán ra nzaya di gekua mꞌonda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuꞌu (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma rꞌa ya kuänmi (firmas)."
"ya kuän' ajmä xa tjogi manteb'u̱e ge xa tjäst'i nu'a gatjo ra ntjandi to'o bi b'e̱di ge xa pu̱ngajñä nuna jmä getbu̱ n'ate ya jñäki ge ñä ya nso̱jo̱ jñäki ne xa y'oni nuna nt'ofo neje ja ra jñäki yazi xada kjä'i , ge'a nuna jñäki fadi ja ra jñämfo ko ra tjuju ra sistema braile."	"ya kuänts'i hmä xa tjogi manthe'b'e ge xa tjäst'i nu'a gatjo ra nt'andi to'o bi b'e̱di ge xa phungajñä nuna hmä gethe n'ate ya jñäki ge ñä ya nzho̱ho̱ jñäki ne xa y'oni nuna nt'ofo neje ha ra jñäki yathi xatha kjä'i, ge'a nuna jñäki fathi ha ra jñämfo ko ra t'ut'u ra sistema braille."
"ya r'atsanoya ra sahagán, ndoxkjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)."	"ya r'atsanoya ra sahagán, ndoxkjuä k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)."
despwés ya desde k'a ra momento ya k'a ya jíngi bénya'wi já té bimáju̱ k'a ra charroya'wi	despöes ya desde ga ra momento ya ga ya hingi bänthiwi ja te bimáju̱ ga ra charroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ nchúi mitsu̱ k'a ra charro mi'óbí k'a ra mikwála	después ya xo bimuhpi pe xo diario diario bu̱ nt'ui mits'u k'a ra charru mi'obi k'a ra miquála
goparejájé primero 'á k'a ra parte ánk'ú dínant'í	goparexáxe primero 'na k'a ra parte 'ñɨk'ɨ dínandi
i asta fecha pues ignoro mucho pero másk'ŭ mäkjámá más ndímáignorajéwi	i hasta fecha pues ignoro mucho pero másk'ü mäkjámá más ndímáignorajéwi
indu̱odiagí bastante	ndu̱diagi bastahti
"inga se̱je̱ ra nntjandi ra manjyati ne ra portuguesa neje ra francesa, inglesa, alemana e italiana,"	"inga seje ra nthe̱thi ra ma̱nyäti ne ra portuguesa neje ra francesa, inglesa, alemana e italiana,"
k'a mädämé para ke mantenigíjé dígotjó mäbäjtsí pues ni modo dísufréjé	Gä mät’äm’ë para ke mantenhëjï di’goht’o mä bätsi pues ni modo di’sufrïhë.
kómá'u̱té ya fuente níjí	kómá'ute ya fuente ñäjï
"ne bi unbabi nduntji ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manjyati, ne da jäni ra dänga ts'ofo ra evangelio,"	"ne bi unbabi ndunt'i ya bä, bi enbabi ge mi ne da ñäwi ra ndä (emperador) mi b'ui nuni manthi, ne da jäni ra dänga ts'ofo ra evangelio,"
normalmente gójo	Normalme̱nte hñoho
panteón ga dó	pantheon ge do
pero de sesenta pantsítjá pa gotjók'ŭ kompletamente xatjó ndímáfădijé	pero de sesenta pants'itʃa pa gotʃok'i kompletamente xatʃo ndima̱fadihe
pero eso sí binújgí mängŭjé kada ná	Pero eso sí bí núkí manguye cada nää.
"po nuya kja'i to'o mi pede ge fädi ko ra tjuju ya ""cronistas de las indias”"	"po nuya kja'i to'o mi peze ge fädi ko ra t'ut'u ya ""cronistas de las indias"""
pues este kábádá balewa este mínimo siento sinkwenta	pues hingi kábádá mbate hingi mínimo siento sinkwenta
pues nimodo bisufré k'a más ante mäabwelitajé komo mbu̱i enkajoso ra ntsoya	pues nimodo bisufri k'a más ante mä abwelitajä komongu̱i enkañoso ra nts'oya
"ra nku̱t'i ra juajni ne ya ñ'udi ntjutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."	"ra nkuth'i ra huaxni ne ya ñudi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950."
solamente ya riko alkansabi	Solamente ya riko alkansabi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	Xi ra ti na tha komedor 'á its'i na tha alimento k'a ra ndäni.
xo mitajá ra ntsoya mitá sínko pesos ra béjña dos sinkwenta	xu mitha ra nts'oya mitha hñoho pesos ra bäxä dos sinkwenta
xo takja mä sesenta wik'a takja mä sesenta bitajkíjéya'wik'a	xo thakjä mä sesenta wihña thakjä mä sesenta b'itha hñäwihña
á panteón ga dó níjí	a pantheon ga do nixi
ñúdigejña dabadijíya' razo''ya' mientra más dandu̱jté	ñudiheñä dabadihi ya räzo ya mientra más dandu̱hte
"-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra jyodi estado de méxico ne mar'a ya jyodi nuni puebla ne veracruz"	"-nthuhü dige'ü b'ui nuni maxei (tolimán ne amealco), dige'ü temoaya nuni ra ra jñudi estado de méxico ne mar'a ya jñudi nuni puebla ne veracruz"
"ne mätajekitjo di kja getbu̱, ra jñäpi ra joel martinez hernández ne ra jotjo tjuajmä ra natalio hernández xocoyotzin, nuya yojo ya xajnate ri ñ'eje ya y'u̱ dige'u̱ ya ndeznä."	"ne mätäkithi di kja get’bu, ra ñämpi ra joel martinez hernández ne ra hño t’ui ra natalio hernández xocoyotzin, nuya yoho ya xajnate ri ñä’e ya y’u̱ dige’u̱ ya ndezna."
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma jñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi joki ra xihuitl o ""ra m'ede ra kje̱ya"""	"-näte pa n'a ra zänä de ra r'et'a ma ñäto ""zänä"" mi zotha ya mints'i ya näte ya pa ge mi hoki ra xihuitl o ""ra mäde ra k'eiya"""
bi ma di gepu̱ jam''u̱ ra ngo pa da ts'itje ya it'adeje (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra izcalli.	bi ma di hñepu̱ ham'u̱ ra ngo pa da ts'it'i ya it'atehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra izcalli.
bi mu̱di da jyoka ya t'u̱kats'u̱fabo̱kja. ge'a ra ntujni bi nkja nuni Coyohuehuetzin ne ma gojo ba nkja.	bi mudi da yoka ya t'ukats'ufabokja. ge'a ra nt'uni bi nka nuni Coyohuehuetzin ne ma goho ba nka.
"bri tjo ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan."	"bri t’o ra kwaxnoxt’i, ra habida t’lakateko, ra kwapan, ra habida witsnawa, ra makxa Amantlan, ne ra makxa t’lakopan."
bri ts'u̱tuabi ja ra y'u̱ga n'a ra nto̱de dega t'u̱ka joga do dega chalchihuite: made mi juts'i n'a ra tsant'i dega k'astabokja.	bri ts'utuabi ja ra y'uga n'a ra nt'ode dega t'uka joga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astabokja.
"Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala."	"Castañeda, ra tu ra Aküyahualkatekuhtli, m ra nda nuni tlaxkala."
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Kuaíhuitl mra habida nthäzä nuya mapa digea ra t'ot'ats' okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya kjä'i ya metlatelolco	di hñepu̱ ba ko'i pa nun'i ra Xochimilco. nu'bü ba tu ya kä'i ya Metlatilolco
"ebu̱ ba eje man'aki ba te̱nga ra t'o̱jo̱ ra tjuju ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ja ra ndo̱m'ijmu."	"ebu̱ mba eje man'aki mba te̱nga ra t'o̱ho̱ ra tjuju ra Citlaltépec. Tlacopan, nubia mba o̱t'ra b'u̱i ja ra ndo̱m'ijmu."
ebu̱ bi dädi ra Cihuacóatl:	hñä ebi dädi ra Cihuacóatl:
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	'bu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl.
"gojo n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca)."	"Goho n’ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Waxtepeki, ra Kuauhnawak (Cuernavaca)."
"gue dá nhuat'i mbo kja ra ximjai,"	"ge dá ñu'ati mbo ja ra ximhai,"
"i nte ra nge'a, ya jmä juts'i ja ra ndäxkjua k'oi ra códice ra ramírez uni nuna b'e̱de mä makjuäni ngu mä ra ntje̱ka b'ede ne ra ndädi nu'a ra nänä mra tjuju ra yacotzin, ra nänä ra ixtlilxóchitl,"	"i nthe ra nge'a, ya jäme hut'i ha ra ndäxkjua k'oi ra códice ra ramírez uni nuna b'e̱the mä makjuäni ngu mä ra nt'e̱ka b'ethe ne ra ndädi nu'a ra nänä mra tjuju ra yacotzin, ra nänä ra ixtlilxóchitl,"
"inda jyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl."	"inda yo go ra ndäxhua ixtlilxóchitl, ra tada ra Nezahualcóyotl ñä go ra Fernando de Alva Ixtlilxóchitl."
"k o ya bu̱' bai, ko ya makahuai,"	"Go ya bu̱’ mbai, ko ya makahuai,"
"mi fudi da t'axka ra xudi ba ts'i, bri tját'a ja n'a ra za mi b'ai ja ra ngu ra Ahuizotzin nuni ra Acatliyacapan."	"mi fudi da t'axka ra xudi ba ts'i, bri tját'a ja n'a ra za mi b'ai ja ra ñu ra Ahuizotzin nuni ra Acatliyacapan."
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka jai mra tjuju ra Yohualichan.	mi gut'a ra ñ'u n'a ra makxa ge'a mra b'efi mi zu nu'a ra mäka hai mra t'ut'u ra Yohualichan.
"mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi jä dega bo̱ja ne ya mahuai."	"mi y'o y'ua, mi t'uts'i ya bu'bai thega za, ne r'a mi jä thega boja ne ya mahuai."
mra ngu ra Aztautzin ge'a mi kja getbu̱ nuni ra Amáxac.	mra ngu ra Aztawts'i ge'a mi kja get'bu̱ nuni ra Amáxa.
n'a ra jyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱je̱.	n'a ra jyo ne man'a bi xkabi ra tebi. ra Cuauhtemoctzin bri xkabi ra tebi ge'a seje.
"ne m'e̱fa bi ma xki jäki ya je dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri nkjonda ya bo̱najmu nuni Acachinanco."	"ne m’efa bi ma xki jäki ya hñe dega magabi, ñätsi bi ntsa ra mahuai ne ra bu'bai, bri nk’onda ya bo’nañu nuni Acachinanco."
"ne nkjabu̱ bri t'ot'e neje ko mar'a ya bo̱najmu mi pe̱tsi ra t'u̱ka tsu̱tui ja ya t'u̱ka jnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca neje mar'a ya bo̱najmu mar'a ya t'u̱ka jnini jabu̱ bi guat'i ya nduste, ya dumantjuju dega k'astaboja, ge ya tjuju ya kristiano [...]"	"ne njabu̱ bri t'ot'e neje ko mar'a ya bo̱najmu mi pe̱tsi ra t'u̱ka tsu̱tui ja ya t'u̱ka jnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca neje mar'a ya bo̱najmu mar'a ya t'u̱ka jnini jabu̱ bi guat'i ya nduste, ya dumantjuju dega k'astaboja, ge ya tjuju ya kristiano [...]"
"ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra jnini nuni puebla],"	"ne nu'a ri däme, po̱ ña'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [na ra hñä nuni Puebla],"
