	tetragrama	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
10	ihua	Tzihuacpopocatzin,	"mi tso̱ho̱ getbu̱ ra fu̱nga t'o̱ho̱, habu̱ mi thutuabi ""tajón ra nxu̱ni, njabu̱ bi hutuabi ya ndeznä ya b'e̱hnanoya bi pe̱hni ra Ts'e̱y'e̱hmu, mi gu̱t'a ra ñ'u ra Tzihuacpopocatzin, bi bo̱nga ha ra ñ'u."	"mi tso̱jo̱ getbu̱ ra fu̱nga t'o̱jo̱, jabu̱ mi tjutuabi ""tajón ra nxu̱ni, njabu̱ bi jutuabi ya ndeznä ya b'e̱jnanoya bi pe̱jni ra ts'e̱y'e̱jmu, mi gu̱t'a ra ñ'u ra tzijuatspopotsatzin, bi bo̱nga ja ra ñ'u."	"mi tso̱ho̱ getbu̱ ra fu̱nga t'o̱ho̱, habu̱ mi thutuabi ""tajón ra nxu̱ni, njabu̱ bi hutuabi ya ndeznä ya b'e̱hnanoya bi pe̱hni ra ts'e̱y'e̱hmu, mi gu̱t'a ra ñ'u ra tzihuatspopotsatzin, bi bo̱nga ha ra ñ'u."	"mi tso̱ho̱ getbu̱ ra fu̱nga t'o̱ho̱, habu̱ mi thutuabi ""tajón ra nxu̱ni, njabu̱ bi hutuabi ya ndeznä ya b'e̱hnanoya bi pe̱hni ra ts'e̱y'e̱hmu, mi gu̱t'a ra ñ'u ra tzihuatspopotsatzin, bi bo̱nga ha ra ñ'u."	"mi cɔhɔ getbɨ ra phɨnga tʔɔhɔ, habɨ mi thutuabi ""takhón ra nšɨni, nkhabɨ bi hutuabi ya ndeznᶏ ya bʔɛhnanoya bi pɛhni ra cʔɛyʔɛhmu, mi gɨtʔa ra ñʔu ra tzihuacpopocatzin, bi bɔnga ha ra ñʔu."	"mi t͡sɔhɔ getbɨ ra ɸɨnga tʔɔhɔ, habɨ mi thutuabi ""takhón ra nʃɨni, nkhabɨ bi hutuabi ja ndeznã ja bʔɛhnanoja bi pɛhni ra t͡sʔɛjʔɛhmu, mi gɨtʔa ra ɲʔu ra tzihuat͡spopot͡satzin, bi bɔnga ha ra ɲʔu."
11	ihua	Cihuacóatl	Ra mu̱di ra Cuauhtémoc, ra hmu ra Bondo, ra nyoho ra Tlacotzin, ra Cihuacóatl ra nhñu ra Oquiztzin, ra bo̱nahmu ha ra nini ra Azcapotzalco Mexicapan, ra ngoho ra Panitzin, ra bo̱nahmu nuni ra Ecatepec,	ra mu̱di ra tsuaujtémots, ra jmu ra bondo, ra nyojo ra tlatsotzin, ra tsijuatsóatl ra njñu ra oquiztzin, ra bo̱najmu ja ra nini ra aztsapotzaltso mexitsapan, ra ngojo ra panitzin, ra bo̱najmu nuni ra etsatepets,	ra mu̱di ra tsuauhtémots, ra hmu ra bondo, ra nyoho ra tlatsotzin, ra tsihuatsóatl ra nhñu ra oquiztzin, ra bo̱nahmu ha ra nini ra aztsapotzaltso mexitsapan, ra ngoho ra panitzin, ra bo̱nahmu nuni ra etsatepets,	ra mu̱di ra tsuauhtémots, ra hmu ra bondo, ra nyoho ra tlatsotzin, ra tsihuatsóatl ra nhñu ra oquiztzin, ra bo̱nahmu ha ra nini ra aztsapotzaltso mexitsapan, ra ngoho ra panitzin, ra bo̱nahmu nuni ra etsatepets,	ra mɨdi ra cuauhtémoc, ra hmu ra bondo, ra nyoho ra tlacotzin, ra cihuacóatl ra nhñu ra oquiztzin, ra bɔnahmu ha ra nini ra azcapotzalco mešicapan, ra ngoho ra panitzin, ra bɔnahmu nuni ra ecatepec,	ra mɨdi ra t͡suauhtémot͡s, ra hmu ra bondo, ra njoho ra tlat͡sotzin, ra t͡sihuat͡sóatl ra nhɲu ra oquiztzin, ra bɔnahmu ha ra nini ra azt͡sapotzalt͡so meʃit͡sapan, ra ngoho ra panitzin, ra bɔnahmu nuni ra et͡satepet͡s,
12	ihua	Cihuacóatl	Man'aki bi dädi ra Cihuacóatl bi má:	man'aki bi dädi ra tsijuatsóatl bi má:	man'aki bi dädi ra tsihuatsóatl bi má:	man'aki bi dädi ra tsihuatsóatl bi má:	manʔaki bi dᶏdi ra cihuacóatl bi má:	manʔaki bi dãdi ra t͡sihuat͡sóatl bi má:
13	ihua	Cihuacóatl:	Ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	ebu̱ bi ñä ra tsuaujtémots bi xipabi ra tsijuatsóatl:	ebu̱ bi ñä ra tsuauhtémots bi xipabi ra tsihuatsóatl:	ebu̱ bi ñä ra tsuauhtémots bi xipabi ra tsihuatsóatl:	ebɨ bi ñᶏ ra cuauhtémoc bi šipabi ra cihuacóatl:	ebɨ bi ɲã ra t͡suauhtémot͡s bi ʃipabi ra t͡sihuat͡sóatl:
14	ihua	Cihuacóatl	Ra Cihuacóatl Tlilpotonqui,ra Tlacochcálcatl Cuppiaztzin,ra Tizociahuacatl Quetzalaztatzin, ra Huiznahuatlailótlac Hecateupatiltzin	ra tsijuatsóatl tlilpotonqui,ra tlatsochtsáltsatl tsuppiaztzin,ra tizotsiajuatsatl quetzalaztatzin, ra juiznajuatlailótlats jetsateupatiltzin	ra tsihuatsóatl tlilpotonqui,ra tlatsochtsáltsatl tsuppiaztzin,ra tizotsiahuatsatl quetzalaztatzin, ra huiznahuatlailótlats hetsateupatiltzin	ra tsihuatsóatl tlilpotonqui,ra tlatsotxtsáltsatl tsuppiaztzin,ra tizotsiahuatsatl quetzalaztatzin, ra huiznahuatlailótlats hetsateupatiltzin	ra cihuacóatl tlilpotonqui,ra tlacočcálcatl cuppiaztzin,ra tizociahuacatl quetzalaztatzin, ra huiznahuatlailótlac hecateupatiltzin	ra t͡sihuat͡sóatl tlilpotonqui,ɾa tlat͡sot͡ʃt͡sált͡satl t͡suppiaztzin,ɾa tizot͡siahuat͡satl quetzalaztatzin, ra huiznahuatlailótlat͡s het͡sateupatiltzin
15	ihua	Tzihuacpopoca,	Nub'u̱ bi thandi ra Tzihuacpopoca, bi t'ena:	nub'u̱ bi tjandi ra tzijuatspopotsa, bi t'ena:	nub'u̱ bi thandi ra tzihuatspopotsa, bi t'ena:	nub'u̱ bi thandi ra tzihuatspopotsa, bi t'ena:	nubʔɨ bi thandi ra tzihuacpopoca, bi tʔena:	nubʔɨ bi thandi ra tzihuat͡spopot͡sa, bi tʔena:
16	ihua	Tzihuacpopocatzin,	Nuna nte̱nga b'ede ha bri hat'i ra Tzihuacpopocatzin, bi o̱t'e da thogi ge'a ra Ts'e̱y'e̱hmu. Inbi bo̱nga nuna nt'o̱t'e bi tsu̱dihu̱ ko ma r'a ya b'e̱hni. Ma ra ya ñ'ete inbi hopi da ju̱ man'aki ra ñ'u nuya ts'okate. Pe nuya inbi hoki ra b'ai.	nuna nte̱nga b'ede ja bri jat'i ra tzijuatspopotsatzin, bi o̱t'e da tjogi ge'a ra ts'e̱y'e̱jmu. inbi bo̱nga nuna nt'o̱t'e bi tsu̱diju̱ ko ma r'a ya b'e̱jni. ma ra ya ñ'ete inbi jopi da ju̱ man'aki ra ñ'u nuya ts'okate. pe nuya inbi joki ra b'ai.	nuna nte̱nga b'ede ha bri hat'i ra tzihuatspopotsatzin, bi o̱t'e da thogi ge'a ra ts'e̱y'e̱hmu. inbi bo̱nga nuna nt'o̱t'e bi tsu̱dihu̱ ko ma r'a ya b'e̱hni. ma ra ya ñ'ete inbi hopi da ju̱ man'aki ra ñ'u nuya ts'okate. pe nuya inbi hoki ra b'ai.	nuna nte̱nga b'ede ha bri hat'i ra tzihuatspopotsatzin, bi o̱t'e da thogi ge'a ra ts'e̱y'e̱hmu. inbi bo̱nga nuna nt'o̱t'e bi tsu̱dihu̱ ko ma r'a ya b'e̱hni. ma ra ya ñ'ete inbi hopi da ju̱ man'aki ra ñ'u nuya ts'okate. pe nuya inbi hoki ra b'ai.	nuna ntɛnga bʔede ha bri hatʔi ra tzihuacpopocatzin, bi ɔtʔe da thogi geʔa ra cʔɛyʔɛhmu. inbi bɔnga nuna ntʔɔtʔe bi cɨdihɨ ko ma rʔa ya bʔɛhni. ma ra ya ñʔete inbi hopi da khɨ manʔaki ra ñʔu nuya cʔokate. pe nuya inbi hoki ra bʔai.	nuna ntɛnga bʔede ha bɾi hatʔi ra tzihuat͡spopot͡satzin, bi ɔtʔe da thogi geʔa ra t͡sʔɛjʔɛhmu. inbi bɔnga nuna ntʔɔtʔe bi t͡sɨdihɨ ko ma rʔa ja bʔɛhni. ma ra ja ɲʔete inbi hopi da khɨ manʔaki ra ɲʔu nuja t͡sʔokate. pe nuja inbi hoki ra bʔai.
17	ihua	Cihuacóatl,	ra Cuauhtémoc, Tlacotzin, ra Cihuacóatl, Oquiztzin, Panitzin, Motelhuihtzin; nuna bi sofo ra Cortés nuni Coyoacan, nu'u̱ to'o mi pädi yoho ya hñäki ngu'a ra Jerónimo Aguilar ra Malintzin.	ra tsuaujtémots, tlatsotzin, ra tsijuatsóatl, oquiztzin, panitzin, moteljuijtzin; nuna bi sofo ra tsortés nuni tsoyoatsan, nu'u̱ to'o mi pädi yojo ya jñäki ngu'a ra jerónimo aguilar ra malintzin.	ra tsuauhtémots, tlatsotzin, ra tsihuatsóatl, oquiztzin, panitzin, motelhuihtzin; nuna bi sofo ra tsortés nuni tsoyoatsan, nu'u̱ to'o mi pädi yoho ya hñäki ngu'a ra jerónimo aguilar ra malintzin.	ra tsuauhtémots, tlatsotzin, ra tsihuatsóatl, oquiztzin, panitzin, motelhuihtzin; nuna bi sofo ra tsortés nuni tsoyoatsan, nu'u̱ to'o mi pädi yoho ya hñäki ngu'a ra jerónimo aguilar ra malintzin.	ra cuauhtémoc, tlacotzin, ra cihuacóatl, oquiztzin, panitzin, motelhuihtzin; nuna bi sopho ra cortés nuni coyoacan, nuʔɨ toʔo mi pᶏdi yoho ya hñᶏki nguʔa ra kherónimo aguilar ra malintzin.	ra t͡suauhtémot͡s, tlat͡sotzin, ra t͡sihuat͡sóatl, oquiztzin, panitzin, motelhuihtzin; nuna bi soɸo ra t͡soɾtés nuni t͡sojoat͡san, nuʔɨ toʔo mi pãdi joho ja hɲãki nguʔa ra kheɾónimo aguilaɾ ra malintzin.
18	ihua	ambetz'ihuay	ne ndunthi ya ambetz'ihuay ne mar'a hoga do mi pe̱tsi ra mu'ui:	ne nduntji ya ambetz'ijuay ne mar'a joga do mi pe̱tsi ra mu'ui:	ne ndunthi ya ambetz'ihuay ne mar'a hoga do mi pe̱tsi ra mu'ui:	ne ndunthi ya ambetz'ihuay ne mar'a hoga do mi pe̱tsi ra mu'ui:	ne ndunthi ya ambetzʔihuay ne marʔa hoga do mi pɛci ra muʔui:	ne ndunthi ja ambetzʔihuaj ne maɾʔa hoga do mi pɛt͡si ra muʔui:
19	ihua	Tzihuaacpopoca.	ba ñ'ehe da munts'i ko nuyu̱ bi b'e̱t'o ko ra Tzihuaacpopoca.	ba ñ'eje da munts'i ko nuyu̱ bi b'e̱t'o ko ra tzijuaatspopotsa.	ba ñ'ehe da munts'i ko nuyu̱ bi b'e̱t'o ko ra tzihuaatspopotsa.	ba ñ'ehe da munts'i ko nuyu̱ bi b'e̱t'o ko ra tzihuaatspopotsa.	ba ñʔehe da muncʔi ko nuyɨ bi bʔɛtʔo ko ra tzihuaacpopoca.	ba ɲʔehe da munt͡sʔi ko nujɨ bi bʔɛtʔo ko ra tzihuaat͡spopot͡sa.
20	ihua	Cihuacóatl,	—Xipanoc, Teltlyaco, ra nyoho ra Cihuacóatl, Motelchiuh, nub'u̱ mra Huiznáhuatl, Zóchitl nu'a me Acolnáhuac, mengu ra Anáhuac, ra Tlacochcálcatl, ra Itzpotonqui, ra Ezhuahuácatl, ra Coaíhuitl, ge'a bi ñ'u̱di se'u̱e mra bo̱nahmu ra Tezcacoac.	-xipanots, teltlyatso, ra nyojo ra tsijuatsóatl, motelchiuj, nub'u̱ mra juiznájuatl, zóchitl nu'a me atsolnájuats, mengu ra anájuats, ra tlatsochtsáltsatl, ra itzpotonqui, ra ezjuajuátsatl, ra tsoaíjuitl, ge'a bi ñ'u̱di se'u̱e mra bo̱najmu ra teztsatsoats.	-xipanots, teltlyatso, ra nyoho ra tsihuatsóatl, motelchiuh, nub'u̱ mra huiznáhuatl, zóchitl nu'a me atsolnáhuats, mengu ra anáhuats, ra tlatsochtsáltsatl, ra itzpotonqui, ra ezhuahuátsatl, ra tsoaíhuitl, ge'a bi ñ'u̱di se'u̱e mra bo̱nahmu ra teztsatsoats.	-xipanots, teltlyatso, ra nyoho ra tsihuatsóatl, moteltxiuh, nub'u̱ mra huiznáhuatl, zótxitl nu'a me atsolnáhuats, mengu ra anáhuats, ra tlatsotxtsáltsatl, ra itzpotonqui, ra ezhuahuátsatl, ra tsoaíhuitl, ge'a bi ñ'u̱di se'u̱e mra bo̱nahmu ra teztsatsoats.	-šipanoc, teltlyaco, ra nyoho ra cihuacóatl, motelčiuh, nubʔɨ mra huiznáhuatl, zóčitl nuʔa me acolnáhuac, mengu ra anáhuac, ra tlacočcálcatl, ra itzpotonqui, ra ezhuahuácatl, ra coaíhuitl, geʔa bi ñʔɨdi seʔɨe mra bɔnahmu ra tezcacoac.	-ʃipanot͡s, teltljat͡so, ra njoho ra t͡sihuat͡sóatl, motelt͡ʃiuh, nubʔɨ mɾa huiznáhuatl, zót͡ʃitl nuʔa me at͡solnáhuat͡s, mengu ra anáhuat͡s, ra tlat͡sot͡ʃt͡sált͡satl, ra itzpotonqui, ra ezhuahuát͡satl, ra t͡soaíhuitl, geʔa bi ɲʔɨdi seʔɨe mɾa bɔnahmu ra tezt͡sat͡soat͡s.
21	ihua	Cihuacóatl	Nuya bo̱nahmu ya mem'onda ñätsi bi ñäui Ra Cihuacóatl Tlacotzin m'estho bi thädi:	nuya bo̱najmu ya mem'onda ñätsi bi ñäui ra tsijuatsóatl tlatsotzin m'estjo bi tjädi:	nuya bo̱nahmu ya mem'onda ñätsi bi ñäui ra tsihuatsóatl tlatsotzin m'estho bi thädi:	nuya bo̱nahmu ya mem'onda ñätsi bi ñäui ra tsihuatsóatl tlatsotzin m'estho bi thädi:	nuya bɔnahmu ya memʔonda ñᶏci bi ñᶏui ra cihuacóatl tlacotzin mʔestho bi thᶏdi:	nuja bɔnahmu ja memʔonda ɲãt͡si bi ɲãui ra t͡sihuat͡sóatl tlat͡sotzin mʔestho bi thãdi:
