	Palabra	Aparece en:	OTS	INALI	OTQ	RFE	fon
10	johya	tsopu̱hu̱, ge n'a ra ñ'änthi da nja da juati tsopu̱hu̱ da juat'i ya huekate, ga handihu̱ nubia ga johyathohu̱ ko nu'a ra b'emfe̱ni pe̱tsi ne ra hyate hä ge ri hñäts'i ya jä'i ri mpu̱gi dega zi b'e̱hña ngu nuya xabxi dige'u̱ ya xane däme, ge xa nda se̱he̱ dega ntsu.	tsopu̱ju̱, ge n'a ra ñ'äntji da nja da juati tsopu̱ju̱ da juat'i ya juekate, ga jandiju̱ nubia ga jojyatjoju̱ ko nu'a ra b'emfe̱ni pe̱tsi ne ra jyate jä ge ri jñäts'i ya jä'i ri mpu̱gi dega zi b'e̱jña ngu nuya xabxi dige'u̱ ya xane däme, ge xa nda se̱je̱ dega ntsu.	tsopu̱hu̱, ge n'a ra ñ'änthi da nja da juati tsopu̱hu̱ da juat'i ya huekate, ga handihu̱ nubia ga johyathohu̱ ko nu'a ra b'emfe̱ni pe̱tsi ne ra hyate hä ge ri hñäts'i ya jä'i ri mpu̱gi dega zi b'e̱hña ngu nuya xabxi dige'u̱ ya xane däme, ge xa nda se̱he̱ dega ntsu.	tsopu̱hu̱, ge n'a ra ñ'änthi da nja da juati tsopu̱hu̱ da juat'i ya huekate, ga handihu̱ nubia ga johyathohu̱ ko nu'a ra b'emfe̱ni pe̱tsi ne ra hyate hä ge ri hñäts'i ya jä'i ri mpu̱gi dega zi b'e̱hña ngu nuya xabxi dige'u̱ ya xane däme, ge xa nda se̱he̱ dega ntsu.	copɨhɨ, ge nʔa ra ñʔᶏnthi da nkha da khuati copɨhɨ da khuatʔi ya huekate, ga handihɨ nubia ga khohyathohɨ ko nuʔa ra bʔemphɛni pɛci ne ra hyate hᶏ ge ri hñᶏcʔi ya khᶏʔi ri mpɨgi dega zi bʔɛhña ngu nuya šabši digeʔɨ ya šane dᶏme, ge ša nda sɛhɛ dega ncu.	t͡sopɨhɨ, ge nʔa ra ɲʔãnthi da nkha da khuati t͡sopɨhɨ da khuatʔi ja huekate, ga handihɨ nubia ga khohjathohɨ ko nuʔa ra bʔemɸɛni pɛt͡si ne ra hjate hã ge ri hɲãt͡sʔi ja khãʔi ri mpɨgi dega zi bʔɛhɲa ngu nuja ʃabʃi digeʔɨ ja ʃane dãme, ge ʃa nda sɛhɛ dega nt͡su.
11	johya	Ya ñämfo̱ bi johya bi hyanda ndunthi ya t'u̱ka hnini nub'u xki ntonts'i ha ya xäntho̱, r'a bi ena xa menga nuni Tlaxcala, pa da hñuts'i mar'a ya ndunthi ya jä'i ma n'a ndunthi bi nthe̱ bi ñäti ra mä	ya ñämfo̱ bi jojya bi jyanda nduntji ya t'u̱ka jnini nub'u xki ntonts'i ja ya xäntjo̱, r'a bi ena xa menga nuni tlaxtsala, pa da jñuts'i mar'a ya nduntji ya jä'i ma n'a nduntji bi ntje̱ bi ñäti ra mä	ya ñämfo̱ bi johya bi hyanda ndunthi ya t'u̱ka hnini nub'u xki ntonts'i ha ya xäntho̱, r'a bi ena xa menga nuni tlaxtsala, pa da hñuts'i mar'a ya ndunthi ya jä'i ma n'a ndunthi bi nthe̱ bi ñäti ra mä	ya ñämfo̱ bi johya bi hyanda ndunthi ya t'u̱ka hnini nub'u xki ntonts'i ha ya xäntho̱, r'a bi ena xa menga nuni tlaxtsala, pa da hñuts'i mar'a ya ndunthi ya jä'i ma n'a ndunthi bi nthe̱ bi ñäti ra mä	ya ñᶏmphɔ bi khohya bi hyanda ndunthi ya tʔɨka hnini nubʔu ški ntoncʔi ha ya šᶏnthɔ, rʔa bi ena ša menga nuni tlašcala, pa da hñucʔi marʔa ya ndunthi ya khᶏʔi ma nʔa ndunthi bi nthɛ bi ñᶏti ra mᶏ	ja ɲãmɸɔ bi khohja bi hjanda ndunthi ja tʔɨka hnini nubʔu ʃki ntont͡sʔi ha ja ʃãnthɔ, rʔa bi ena ʃa menga nuni tlaʃt͡sala, pa da hɲut͡sʔi maɾʔa ja ndunthi ja khãʔi ma nʔa ndunthi bi nthɛ bi ɲãti ra mã
12	johya	Pe ra ndäte bi gamfri bi gohi mpaha, bi thäpabi ra mfeni, bi johya ra bndäte.	pe ra ndäte bi gamfri bi goji mpaja, bi tjäpabi ra mfeni, bi jojya ra bndäte.	pe ra ndäte bi gamfri bi gohi mpaha, bi thäpabi ra mfeni, bi johya ra bndäte.	pe ra ndäte bi gamfri bi gohi mpaha, bi thäpabi ra mfeni, bi johya ra bndäte.	pe ra ndᶏte bi gamphri bi gohi mpaha, bi thᶏpabi ra mpheni, bi khohya ra bndᶏte.	pe ra ndãte bi gamɸɾi bi gohi mpaha, bi thãpabi ra mɸeni, bi khohja ra bndãte.
13	johya	"Joel Martínez Hernández, ""Quesqui nahuamacehualme tiiztoqueh"" en Nahua Macehualpaquilistli, [johya Ndeznä), México, 1983, pp. 4-9"	"joel martínez jernández, ""quesqui najuamatsejualme tiiztoquej"" en najua matsejualpaquilistli, [jojya ndeznä), méxitso, 1983, pp. 4-9"	"joel martínez hernández, ""quesqui nahuamatsehualme tiiztoqueh"" en nahua matsehualpaquilistli, [johya ndeznä), méxitso, 1983, pp. 4-9"	"joel martínez hernández, ""quesqui nahuamatsehualme tiiztoqueh"" en nahua matsehualpaquilistli, [johya ndeznä), méxitso, 1983, pp. 4-9"	"khoel martínez hernández, ""quesqui nahuamacehualme tiiztoqueh"" en nahua macehualpaquilistli, [khohya ndeznᶏ), méšico, 1983, pp. 4-9"	"khoel maɾtínez heɾnández, ""quesqui nahuamat͡sehualme tiiztoqueh"" en nahua mat͡sehualpaquilistli, [khohja ndeznã), méʃit͡so, 1983, pp. 4-9"
14	johya	"da kuat'ihe ra jamfri ra Katolika, ra njamfri ra evangelio pa da tso̱he ga pädihe nu'a ajuä se̱he̱, ra zi dada ra Jesucristo nuhe dra huexotzincas ne to'o b'u̱i nuna hnini, mahye̱gi bi pe̱tsi ra hueke Ajuä, bi yot""igihe ra pa ga tsinihe ko ra johya"	"da kuat'ije ra jamfri ra katolika, ra njamfri ra evangelio pa da tso̱je ga pädije nu'a ajuä se̱je̱, ra zi dada ra jesutsristo nuje dra juexotzintsas ne to'o b'u̱i nuna jnini, majye̱gi bi pe̱tsi ra jueke ajuä, bi yot""igije ra pa ga tsinije ko ra jojya"	"da kuat'ihe ra jamfri ra katolika, ra njamfri ra evangelio pa da tso̱he ga pädihe nu'a ajuä se̱he̱, ra zi dada ra jesutsristo nuhe dra huexotzintsas ne to'o b'u̱i nuna hnini, mahye̱gi bi pe̱tsi ra hueke ajuä, bi yot""igihe ra pa ga tsinihe ko ra johya"	"da kuat'ihe ra jamfri ra katolika, ra njamfri ra evangelio pa da tso̱he ga pädihe nu'a ajuä se̱he̱, ra zi dada ra jesutsristo nuhe dra huexotzintsas ne to'o b'u̱i nuna hnini, mahye̱gi bi pe̱tsi ra hueke ajuä, bi yot""igihe ra pa ga tsinihe ko ra johya"	"da kuatʔihe ra khamphri ra katolika, ra nkhamphri ra evangelio pa da cɔhe ga pᶏdihe nuʔa akhuᶏ sɛhɛ, ra zi dada ra khesucristo nuhe dra huešotzincas ne toʔo bʔɨi nuna hnini, mahyɛgi bi pɛci ra hueke akhuᶏ, bi yot""igihe ra pa ga cinihe ko ra khohya"	"da kuatʔihe ra khamɸɾi ra katolika, ra nkhamɸɾi ra evangelio pa da t͡sɔhe ga pãdihe nuʔa akhuã sɛhɛ, ra zi dada ra khesut͡sɾisto nuhe dɾa hueʃotzint͡sas ne toʔo bʔɨi nuna hnini, mahjɛgi bi pɛt͡si ra hueke akhuã, bi jot""igihe ra pa ga t͡sinihe ko ra khohja"
15	johya	Ya miñ'o ko ngehna hmä ri johya,	ya miñ'o ko ngejna jmä ri jojya,	ya miñ'o ko ngehna hmä ri johya,	ya miñ'o ko ngehna hmä ri johya,	ya miñʔo ko ngehna hmᶏ ri khohya,	ja miɲʔo ko ngehna hmã ri khohja,
16	johya	¡Ri mpaha ra ndäte, pe̱tsa ra johya go o̱t'ehu̱, xa bo̱nga xahño, ngu bi dast'itho!...	¡ri mpaja ra ndäte, pe̱tsa ra jojya go o̱t'eju̱, xa bo̱nga xajño, ngu bi dast'itjo!...	¡ri mpaha ra ndäte, pe̱tsa ra johya go o̱t'ehu̱, xa bo̱nga xahño, ngu bi dast'itho!...	¡ri mpaha ra ndäte, pe̱tsa ra johya go o̱t'ehu̱, xa bo̱nga xahño, ngu bi dast'itho!...	¡ri mpaha ra ndᶏte, pɛca ra khohya go ɔtʔehɨ, ša bɔnga šahño, ngu bi dastʔitho!...	¡ɾi mpaha ra ndãte, pɛt͡sa ra khohja go ɔtʔehɨ, ʃa bɔnga ʃahɲo, ngu bi dastʔitho!...
17	johya	ya he mra n´añ´o ne mi johya, bi tso̱ho̱ ha ya hnini nuna hai ko ndunthi ra ts´u̱tui, nuya mu̱dimehai mi ñ´endatho ne bi o̱tua ya b´e̱go.	ya je mra n´añ´o ne mi jojya, bi tso̱jo̱ ja ya jnini nuna jai ko nduntji ra ts´u̱tui, nuya mu̱dimejai mi ñ´endatjo ne bi o̱tua ya b´e̱go.	ya he mra n´añ´o ne mi johya, bi tso̱ho̱ ha ya hnini nuna hai ko ndunthi ra ts´u̱tui, nuya mu̱dimehai mi ñ´endatho ne bi o̱tua ya b´e̱go.	ya he mra n´añ´o ne mi johya, bi tso̱ho̱ ha ya hnini nuna hai ko ndunthi ra ts´u̱tui, nuya mu̱dimehai mi ñ´endatho ne bi o̱tua ya b´e̱go.	ya he mra n´añ´o ne mi khohya, bi cɔhɔ ha ya hnini nuna hai ko ndunthi ra c´ɨtui, nuya mɨdimehai mi ñ´endatho ne bi ɔtua ya b´ɛgo.	ja he mɾa n´aɲ´o ne mi khohja, bi t͡sɔhɔ ha ja hnini nuna hai ko ndunthi ra t͡s´ɨtui, nuja mɨdimehai mi ɲ´endatho ne bi ɔtua ja b´ɛgo.
18	johya	Ya t'u̱ki bätsi mi pe̱xo. Mi tso̱ni gatho. Ma r'a mi johya, mi r'anthede mi pabu̱ ya ñ'u.	ya t'u̱ki bätsi mi pe̱xo. mi tso̱ni gatjo. ma r'a mi jojya, mi r'antjede mi pabu̱ ya ñ'u.	ya t'u̱ki bätsi mi pe̱xo. mi tso̱ni gatho. ma r'a mi johya, mi r'anthede mi pabu̱ ya ñ'u.	ya t'u̱ki bätsi mi pe̱xo. mi tso̱ni gatho. ma r'a mi johya, mi r'anthede mi pabu̱ ya ñ'u.	ya tʔɨki bᶏci mi pɛšo. mi cɔni gatho. ma rʔa mi khohya, mi rʔanthede mi pabɨ ya ñʔu.	ja tʔɨki bãt͡si mi pɛʃo. mi t͡sɔni gatho. ma rʔa mi khohja, mi rʔanthede mi pabɨ ja ɲʔu.
19	hanja	Ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xajño nubia janja beni ya metlaxtsala bi do̱m'i mpaja nuya nso̱jo̱ jä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxtsala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxtsala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñʔudi šahño nubia hankha beni ya metlašcala bi dɔmʔi mpaha nuya nsɔhɔ khᶏʔi.	ri ɲʔudi ʃahɲo nubia hankha beni ja metlaʃt͡sala bi dɔmʔi mpaha nuja nsɔhɔ khãʔi.
20	hanja	Ya r'atsanoya ra Sahagún mi mä hanja mi yopa tsini. Ya ndeznä bi nkohi inda ñ'udi. Mi hatatho pa bi mu̠di ra ntuhni	ya r'atsanoya ra sajagún mi mä janja mi yopa tsini. ya ndeznä bi nkoji inda ñ'udi. mi jatatjo pa bi mu̱di ra ntujni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni	ya rʔacanoya ra sahagún mi mᶏ hankha mi yopa cini. ya ndeznᶏ bi nkohi inda ñʔudi. mi hatatho pa bi mɨdi ra ntuhni	ja rʔat͡sanoja ra sahagún mi mã hankha mi jopa t͡sini. ja ndeznã bi nkohi inda ɲʔudi. mi hatatho pa bi mɨdi ra ntuhni
21	hanja	Pede ya ndeznä hanja xki tso̱hni ya b'e̱hni nuni ya ñäni ha ra dänga nxika mothe, habu̱ nubu̱ nuya ñämfo̱ xki hänga nuya n'año ya baha xki pe̱hni ra Ts'e̱y'e̱hmu	pede ya ndeznä janja xki tso̱jni ya b'e̱jni nuni ya ñäni ja ra dänga nxika motje, jabu̱ nubu̱ nuya ñämfo̱ xki jänga nuya n'año ya baja xki pe̱jni ra ts'e̱y'e̱jmu	pede ya ndeznä hanja xki tso̱hni ya b'e̱hni nuni ya ñäni ha ra dänga nxika mothe, habu̱ nubu̱ nuya ñämfo̱ xki hänga nuya n'año ya baha xki pe̱hni ra ts'e̱y'e̱hmu	pede ya ndeznä hanja xki tso̱hni ya b'e̱hni nuni ya ñäni ha ra dänga nxika mothe, habu̱ nubu̱ nuya ñämfo̱ xki hänga nuya n'año ya baha xki pe̱hni ra ts'e̱y'e̱hmu	pede ya ndeznᶏ hankha ški cɔhni ya bʔɛhni nuni ya ñᶏni ha ra dᶏnga nšika mothe, habɨ nubɨ nuya ñᶏmphɔ ški hᶏnga nuya nʔaño ya baha ški pɛhni ra cʔɛyʔɛhmu	pede ja ndeznã hankha ʃki t͡sɔhni ja bʔɛhni nuni ja ɲãni ha ra dãnga nʃika mothe, habɨ nubɨ nuja ɲãmɸɔ ʃki hãnga nuja nʔaɲo ja baha ʃki pɛhni ra t͡sʔɛjʔɛhmu
22	hanja	nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? O̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra Bartolomé López]	nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ja nu'a ra jnini, ¿janja ra yotui, ga tso̱gi nubu̱ ma b'e̱jña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]	nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]	nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]	nubʔɨ nuʔi ingi khapi da bɔnga nuʔa ra makkha ha nuʔa ra hnini, ¿hankha ra yotui, ga cɔgi nubɨ ma bʔɛhña? ɔtʔa rʔato ya khɛya bi mɨdi [ra makkha ra bartolomé lópez]	nubʔɨ nuʔi ingi khapi da bɔnga nuʔa ra makkha ha nuʔa ra hnini, ¿hankha ra jotui, ga t͡sɔgi nubɨ ma bʔɛhɲa? ɔtʔa rʔato ja khɛja bi mɨdi [ɾa makkha ra baɾtolomé lópez]
23	hanja	ha ra ze̱ki nt'ofo ra XIV nuna b'ist'ofo, ri udi n'a ra k'oi xi unga ra ntso̱m'i ra hanja ra bo̱ni to'o bi b'e̱di ne ya ts'okate bri t'o̱tuabi ra nge'a bi b'e̱di ra mu̱i ra hnini ya ndeznä.	ja ra ze̱ki nt'ofo ra xiv nuna b'ist'ofo, ri udi n'a ra k'oi xi unga ra ntso̱m'i ra janja ra bo̱ni to'o bi b'e̱di ne ya ts'okate bri t'o̱tuabi ra nge'a bi b'e̱di ra mu̱i ra jnini ya ndeznä.	ha ra ze̱ki nt'ofo ra xiv nuna b'ist'ofo, ri udi n'a ra k'oi xi unga ra ntso̱m'i ra hanja ra bo̱ni to'o bi b'e̱di ne ya ts'okate bri t'o̱tuabi ra nge'a bi b'e̱di ra mu̱i ra hnini ya ndeznä.	ha ra ze̱ki nt'ofo ra xiv nuna b'ist'ofo, ri udi n'a ra k'oi xi unga ra ntso̱m'i ra hanja ra bo̱ni to'o bi b'e̱di ne ya ts'okate bri t'o̱tuabi ra nge'a bi b'e̱di ra mu̱i ra hnini ya ndeznä.	ha ra zɛki ntʔopho ra šiv nuna bʔistʔopho, ri udi nʔa ra kʔoi ši unga ra ncɔmʔi ra hankha ra bɔni toʔo bi bʔɛdi ne ya cʔokate bri tʔɔtuabi ra ngeʔa bi bʔɛdi ra mɨi ra hnini ya ndeznᶏ.	ha ra zɛki ntʔoɸo ra ʃiv nuna bʔistʔoɸo, ri udi nʔa ra kʔoi ʃi unga ra nt͡sɔmʔi ra hankha ra bɔni toʔo bi bʔɛdi ne ja t͡sʔokate bɾi tʔɔtuabi ra ngeʔa bi bʔɛdi ra mɨi ra hnini ja ndeznã.
24	hanja	¿hanja ga o̱t'ehu̱ ne habu̱?	¿janja ga o̱t'eju̱ ne jabu̱?	¿hanja ga o̱t'ehu̱ ne habu̱?	¿hanja ga o̱t'ehu̱ ne habu̱?	¿hankha ga ɔtʔehɨ ne habɨ?	¿hankha ga ɔtʔehɨ ne habɨ?
