ORIGIN	OTS	INALI	OTQ
pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáphădihé	pero de sesenta pantsítjá pa gotjók'ŭ kompletamente xatjó ndímáfădijé	pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé	pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé
"Ra makja mra thuhu ra Toribio Benavente, Motolinia,"	"ra makja mra tjuju ra toribio benavente, motolinia,"	"ra makja mra thuhu ra toribio benavente, motolinia,"	"ra makja mra thuhu ra toribio benavente, motolinia,"
kómá'u̱té ya fuente níhí	kómá'u̱té ya fuente níjí	kómá'u̱té ya fuente níhí	kómá'u̱té ya fuente níhí
"Nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra Marcelo Díaz Salas ne ra Luis Reyes García ha: TIaltocan, Revista de fuentes para el conocimiento de las culturas indígenas de México, vol. VI, 1970, b'ede ra 3, pp. 193-212."	"nuna je̱m'i bri t'unga mfädi ko ra t'u̱ka ntjint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."	"nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."	"nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212."
solamente ya řiko alkansabi	solamente ya riko alkansabi	solamente ya riko alkansabi	solamente ya riko alkansabi
k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísuphréhé	k'a mädämé para ke mantenigíjé dígotjó mäbäjtsí pues ni modo dísufréjé	k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé	k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé
despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi khá té bimáhhu̱ k'a ra chařoya'wi	despwés ya desde k'a ra momento ya k'a ya jíngi bénya'wi já té bimájju̱ k'a ra charroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra charroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra txarroya'wi
"Nugi, ra Miguel Hernández ge di pe̱tsi ma ngu nuni Chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor Alonso Ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra Quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla."	"nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla."
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni
"Nuna m'e̱hna nt'ofo b'e̱tsi ha ra Archivo Histórico Nacional, Madrid, documento 165. Bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra Arthur J. O. Anderson et al.: Byond the codices: The nahua View of Colonial Mexico, Berkeley, University of California Press, 1976, pp. 181-187."	"nuna m'e̱jna nt'ofo b'e̱tsi ja ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ja ra nt'ofo ya zubi po ra y'ofo ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."	"nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."	"nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187."
"Ra Raymundo Isidro Alavez, bi b'u̱i'i nuni ra Boxtha Chico, San Salvador, estado de Hidalgo"	"ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo"	"ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo"	"ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo"
Nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra ndenzä ja r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.
-Pasadores: “ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta”.	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi tjutuabi ra ballesta""."	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."	"-pasadores: ""ya nts'äza xi mra nts'u̱t'i mi t'e̱ni ko n'a ra t'e̱nga ts'u̱t'a bo̱ja mi thutuabi ra ballesta""."
"Ra Kuän'ahma ra n Luz Jiménez bi huts'i ra Fernando Horkasitas bi unga mfädi ne bi r'atsi nuña hmä), De Porfirio Díaz Zapata, Memoria nábuatl de Milpa Alta, México, UNAM,, Instituto de Investigaciones Históricas, 1974, p. 105"	"ra kuän'ajma ra n luz jiménez bi juts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña jmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"	"ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"	"ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105"
"Cantares mexicanos, Biblioteca Nacional de México, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."	"cantares mexicanos, biblioteca nacional de méxico, ya nt'ofo 1628 bis, folio 16 v."
"Nuna nt'ofo b'e̱tsi ha ra Archivo General de Indias, Sevilla, Audiencia de México 168, Bi unga dra fädi po ra Miguel León-Portilla ha Cultura en peligro, México, Alianza Editorial Mexicana, 1976, pp. 102-103."	"nuna nt'ofo b'e̱tsi ja ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ja cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."	"nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."	"nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103."
pero eso sí binúhgí mängŭhé kada ná	pero eso sí binújgí mängŭjé kada ná	pero eso sí binúhgí mängŭhé kada ná	pero eso sí binúhgí mängŭhé kada ná
pues este kábádá balewa este mínimo siento sinkwenta	pues este kábádá balewa este mínimo siento sinkwenta	pues este kábádá balewa este mínimo siento sinkwenta	pues este kábádá balewa este mínimo siento sinkwenta
ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñúdigejña dabadijíya' razo''ya' mientra más dandu̱jté	ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté
"Nubia, unga mfädi ha ra ñähñu jamädi ra Universidad Autónoma del Estado de Hidalgo."	"nubia, unga mfädi ja ra ñäjñu jamädi ra universidad autónoma del estado de hidalgo."	"nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo."	"nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo."
"Nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra Hernán Cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda María Trinidad,"	"nub'u̱ ri m'e̱jni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagije ne bi tso̱jo̱ ra gabida ra tjuju ra hernán cortés, maske indi pädije ge gatjo da za da o̱t'e ne xi ra nzunda maría trinidad,"	"nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,"	"nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,"
"M'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra “campanillante”."	"m'e̱fa ja ra jñuti bri tjätuabi na ra jñe xki tagiri mo̱te, neje bri jom'a ra xu̱tja ko n'a ra t'axa dutu mra tjujuu ra ""campanillante""."	"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."	"m'e̱fa ha ra hñuti bri thätuabi na ra hñe xki tagiri mo̱te, nehe bri jom'a ra xu̱tha ko n'a ra t'axa dutu mra thuhuu ra ""campanillante""."
"Ra Europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede—"	"ra europa -mra nxika jai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"	"ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"	"ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-"
"Nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra Alvarado."	"nuua t'unga yojo ya jmä, kuän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäjuäni ri ntje̱ui n'a ya dänga ra tju̱ajmä manteb'u̱, nuua pede nu'a gatjo ya ts'otjogi bi y'o̱t'a dega fete ra alvarado."	"nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado."	"nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado."
indu̱odiagí bastante	indu̱odiagí bastante	indu̱odiagí bastante	indu̱odiagí bastante
á panteón ga dó níhí	á panteón ga dó níjí	á panteón ga dó níhí	á panteón ga dó níhí
"Ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra Nthandi to'o bi B'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema Braile."	"ya kuän' ajmä xa tjogi manteb'u̱e ge xa tjäst'i nu'a gatjo ra ntjandi to'o bi b'e̱di ge xa pu̱ngajñä nuna jmä getbu̱ n'ate ya jñäki ge ñä ya nso̱jo̱ jñäki ne xa y'oni nuna nt'ofo neje ja ra jñäki yazi xada jä'i , ge'a nuna jñäki fadi ja ra jñämfo ko ra tjuju ra sistema braile."	"ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile."	"ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile."
"Guzmán. Ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua M'onda ne ya hyo, nu'a ra hmä ra 12-Conejo (1530) ge xa hmä ge xibú bi yut'i ha ra Culhuacan ya ndeznä, nda Pablo Xochiquetzin, Motelchiuhtzin ne ra Guzman."	"guzmán. ja ya je̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya jyo, nu'a ra jmä ra 12-conejo (1530) ge xa jmä ge xibú bi yut'i ja ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."	"guzmán. ha ya he̱m'i b'e̱tsa je̱ya manteb'u̱ di ge nuua m'onda ne ya hyo, nu'a ra hmä ra 12-conejo (1530) ge xa hmä ge xibú bi yut'i ha ra culhuacan ya ndeznä, nda pablo xochiquetzin, motelchiuhtzin ne ra guzman."
"N'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ “campaneante resonador”."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."
pues nimodo bisuphré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bisufré k'a más ante mäabwelitajé komo mbu̱i enkajoso ra ntsoya	pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya
"Ge mä ra bonahmu metetzcoco ge, enfrentar ra Cacamatzin, bi juahni bi fats'i ra Cortés."	"ge mä ra bonajmu metetzcoco ge, enfrentar ra cacamatzin, bi juajni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."
xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	xo mitajá ra ntsoya mitá sínko pesos ra béjña dos sinkwenta	xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta
xo takha mä sesenta wik'a takha mä sesenta bitahkíhéya'wik'a	xo taja mä sesenta wik'a taja mä sesenta bitajkíjéya'wik'a	xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a	xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a
