INALI	OTS
mi b'u̱i ya mu̱dimehai mi ñä ra ndeznä ne habu̱ ra hnini dige'a gatho ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'ehe nuni yucatán ra nge bi guat'i ha ra tuhni bi nja nuua m'onda fädi ko ra thuhu ra revolución mexicana ya je̱ya 1910-1919.	mi bʼui ya mudimejai mi ñä ra ndeznä ne habʼu ra hniini digeʼa gatho ra nxiki mʼonda ngu rʼa ya yaqui bʼui nuni sonora ne ya maya ri ñʼehe nuni yucatán ra nge bi guatʼi ha ra tuhni bi nja nuua mʼonda fädi ko ra thuhu ra revolución mexicana ya jeʼya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱ja mi thutuabi ya hñämfo̱ ra pasadores nehe ya bo̱zna ko ya nzafi.	mi fōtūābi ya ts'ūtṇībōja mi thūtūābi ya ñǣmfō ra pasadores nehe ya bōzna ko ya nzāfī
n'a nt'udi di ge'a nuya nthoki bri t'o̱t'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla.	n'a nt'üdi di ge'a nüya nt'oki bri t'öt'e ha ya hñä ya ndeznä ra ngätsi ra nthebe nje̱ya ra r'et'a ma gu̱to (s. xix), r'a ya hnini ngu ra xicontepec (villa juárez) nuna hyodi kohi nuni puebla.
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñämfo̱ ""campaneante resonador""."	"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra thuhu hñä̃mfo̱ ""campaneante resonador"""
ne ri mpe̱fi ha ra dängan gu nt'udi ra thuhu ra facultad de estudios superiores, acatlán, unam,	ne ri mpʉ̱fi ha ra däŋan gu nt'udi ra tʉhu ra facultad de estudios superiores, acatlán, unam,
nthandi gatho nu'a ra munts'i ra thuhu hñämfo̱ ra globalización ge 'a po̱ts'e dega nest'ihi, nuna y'o̱te to̱m'i da nja ra ntho̱mäte.	ndathi gatho nua ra muntshi ra thuhu hñamfo ra globalización ge a po̱tse dega nestihi, nuna yo̱te tomi da nia ra nthomate.
nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra thuhu ra amosqueador ko ya xi ya ts'ints'u̱ xi sta hotho, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja	nu'a ma r'a ya jä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa hyoki yoho ya mpe̱fi mi fädi ko ra t'uhu ra amosqueador ko ya xi ya ts'ints'u xi sta hoto, gi hutsuabi made dige'a n'a ra zänä dega k'astaboja
"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra José María Lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra Emiliano Zapata, nehe bri fädi ngu ra Atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"
nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u to'o ñä ra ndežä ha r'et'a ma r'ato ya estados.
nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,	nub'u̱ ri me̱hni ne ri be̱go ya ña̱mfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pa̱dihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,
nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo.	nubia, unga mfäti ha ra ñäñu jamäti ra universidad autónoma del estado de hidalgo.
nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.	nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.
nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212.	nuna hem'i bri t'unga mfaadi ko ra t'uka nthint'ant'ofo po ra Marcelo Díaz Salas ne ra Luis Reyes García ha: Tialtocan, Revista de Fuentes para el Conocimiento de las Culturas Indígenas de México, Vol. VI, 1970, b'ede ra 3, pp. 193-212.
"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna hñäpi huts'i ha n'a ra hem'i fädi ra derecho canonigo ko ra thuhu hñämfo ngu ra ""solicitación al administrar el sacramento de la confesión"""
nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.	nuna m'ehna nt'ofö b'etsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofö ya zubi po ra y'ofö ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.
nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.	nuna nt'oho b'ëtsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.
nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai.	nuna pika hem'i ja te ma be̱tsi ha ra archivo general de la nación, nuua monda ne ja ha ra ndunthi ya hni̱ni, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hni̱ni, o̱te gi o̱de ra hña ra mudimehai.
nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado.	nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado
nuua ya mu̱di noya ra motolinia, ha ra mu̱di nkohi bi t'o̱t'e ko ra thuhu ra tratado tercero ra dänga b´ede ya mu̱dimehai nuua r´ayo manhyati:	nuha ya mɨdi noya ra motolinia, ha ra mɨdi nkohi bi t'ɨt'ɨ ko ra thuhi ra tratado tercero ra dɨnga b'ede ya mɨdimehai nuha r'ayo manhyati
"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu fe̱ti nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fe̱ta nu'a majuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatho nu'u bi nja, n'a di ge'u ko ngu fe̱ti nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fe̱ta nu'a majuäni bi nja nub'u ra tsokat'o̱tamfeni (teatro de la conquista)""."
ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-	ra europa -mra nxika hai mantehu, mi pehca n'a ra nxika b'ehde-
ra fernando ramírez mä ge nuna hyodi ri nge̱pu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,	ra fernando ramírez mä ge nuna hyodi ri nge̱bu̱ habu̱ xa n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämpho ne ra füdi ra nkaphri ra evangelio"""
ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105	ra kwäṉ'ahma ra n luz jiménez bi huči ra fernando horkasitas bi uŋa mfädi ne bi r'aci nuña hmä, de porfirio díaz zapata, memoria náhuatl de milpa alta, méxico, unam, instituto de investigaciones históricas, 1974, p. 105
ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo	ra raymundo isidro alavez, bi b'ui'i nuni ra boxtʰa chico, san salvador, estado de hidalgo
ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.	ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.
ra makja mra thuhu ra toribio benavente, motolinia,	ra makja mra tuhu ra toribio benavente, motolinia
tlauhquechol: ra ts'ints'u̱ xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra the̱nga ts'ints'u̱ ne dänga.	tlauhkečol: ra c'inc'u̱ xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gaθo ra θe̱nga c'inc'u̱ ne däŋa.
xkri tso̱ngä ngosthi, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za. antes de	xkri tso̱nga ngosthi, ja hehni ya 'ñu; nä'ä ri ma nxamädo, ha nä'ä ri ma mäbo̱za
ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas).	ya be̱go ne ya be̱tri di ge'a nu'a ra däŋga ndä ra ndada ra tuhu ra Esteban de Guzmán ra nzaya di gekua m'onda, ra ndada ra Hernando Pimentel, ra ndada ra Antonio Cortés, ra ndada xuua (Juan) nuna ra MecoYoacan, ra ndada Pedro Motecuhzoma, me ma r'a ya kuänmi (firmas)
ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile.	ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i, ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braille.
ya r'atsanoya ra sahagán, ndoxjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).	ya r'atsanoya ra sahagán, ndojhua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)
despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra charroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi béña'wi já té bimáhhu k'a ra charroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ nchúi mitsu̱ k'a ra charro mi'óbí k'a ra mikwála	despwés ya xo bimfi pe xo diario diario bu nchui mitsu k'a ra charro miobi k'a ra mikwala
gopareháhé primero 'á k'a ra parte ánk'ú dínant'í	gpahrahé pʼimero 'á k'a ra pʼarte 'ank'u dinant'i
i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi	i asta fehca pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi
indu̱odiagí bastante	indʉodiagí básta
inga se̱he̱ ra nnthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,	inga sehe ra nthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,
k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé	k'a mädamé para ke mantenijé dígotó mäbähtsí pues ni modo disúfréhé
kómá'u̱té ya fuente níhí	kómá'u̱te ya fuente níhi
ne bi unbabi ndunthi ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio,	ne bi ūmbabi ndūnthi ya baba, bi ēmbabi ge mi ne da ñāui ra ndā (emperador) mi b'ūi nuni manhyati, ne da hāni ra dānga ts'ōfo ra evangelio,
normalmente góho	OTS: ndotha góho
panteón ga dó	pantéon ga dó
pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé	pero de sesenta pantsitha pa gothok'u kompletamente xatho ndimafadihe
pero eso sí binúhgí mängŭhé kada ná	OTS: pero eso sí binhgí măŋĕhé kada ná
"po nuya ja'i to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""	"po nuya xai to'o mi pede ge fädi ko ra t'uhu ya ""cronistas de las indias"""
pues este kábádá balewa este mínimo siento sinkwenta	pues este kabáda balewa este mínimo siento sinkuenta
pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bisufré k'a más ante mābwelitahé komo mbui enkaxoso ra ntsōya
ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.	ra nkut'i ra huahni ne ya ñudi nthutsi ra Agustín Yáñez 2da edición Biblioteca del Estudiante Universitario, UNAM, 1950
solamente ya riko alkansabi	solamente ya ríhko alkansabi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra ti na ta komedor 'a itsi na ta alimento k'a ra ndani
xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	OTS: xō mitahá rā ntsoyā mitā sinko pesos rā behña dos cinkuenta
xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a	OTS: xo taya mä sesenta 'wik'a taya mä sesenta bitaxkíhéya 'wik'a
á panteón ga dó níhí	á mpanteón ga dó níhí
ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñudigehña dabadihíya' razó''ya' mientra máhi dandu̱hté
-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra hyodi estado de méxico ne mar'a ya hyodi nuni puebla ne veracruz	-nu'u digeu bui nuni maxei (tolimán ne amealco), digeu temoaya nuni ra ra hyodi Estado de México ne mar'a ya hyodi nuni Puebla ne Veracruz
ne mätahekitho di ja getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä.	ne mätahekitho di ja getbų, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u dige'u ya ndeznä.
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma hñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi hoki ra xihuitl o ""ra m'ede ra je̱ya"""	"-nte pa n'a ra tsänä de ra r'ets'a ma ñäto ""tsänä"" mi tsota ya munts'i ya n'te ya pa ge mi hoki ra shiuitl o ""ra m'ede ra hey'a"""
bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra Izcalli.	bi ma di gepʌ̃ hamʌ̃ ra ŋo pa da ts'itʰe ya it'adʰe (Tlahuano) ba põni nubʌ̃ tlapetʰuan. mra ŋo ra Iskali.
bi mu̱di da hyoka ya t'u̱kats'u̱fabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.	bi mu̱di da hyoka ya t'ukats'ufabo̱ja. ge'a ra ntuxni bi nia nuni Coyohuehuetzin ne ma goho ba nia.
bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan.	bri tho ra kwawoñotli, ra gabida tlakateko, ra kwapan, ra gabida witznawac, ra makya Amantlan, ne ra makya tlakopan.
bri ts'u̱tuabi ha ra y'u̱ga n'a ra nto̱de dega t'u̱ka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja.	bri ts'utuabi ha ra y'uga n'a ra ntode dega t'uka hoga do dega chalchihuite: made mi huts'i n'a ra tsanti dega k'astaboja
Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala.	Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni Tlaxcala.
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Coaihuitl mra gabida ndeʒnä nuya mapa digea ra t'ot'atʃʼ okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya jä'i ya metlatelolco	di ɣepu ba koi pa nuni ra Xochimilco. nubu ba tu ya ɟä'i ya metlatelolco
ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	OTS: Ebu̱ ba Ehe Man'aki ba Te̱nga ra T'o̱ho̱ ra Thu̱hu ra Citlaltépec. Tlacopan, Nubia ba O̱t'ra B'u̱i ha ra Ndo̱m'ihmu.
ebu̱ bi dädi ra Cihuacóatl:	OTS: ebu̱ bi dädi ra Cihuacóatl
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	ebu̱ bi ñä ra Kwawtemok bi xipabi ra Siwakwatl:
goho n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca).	goxo n'ate ya pa ne ebũ bi yopa bõni pa di mani ra Wahtepek, ra Kwaunawak (Cuernavaca).
gue dá nhuat'i mbo ja ra ximhai,	OTS: gwe dá ŋwat'i mbo xa rim ximhai,
i nte ra nge'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,	i nte ra ngē'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'ēde mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,
inda hyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl.	inda jyo ko ra ndaxhua istilxóchtil, ra dada ra Nezahualcóyotl ni ko ra Fernando de Alva Istilxóchitl.
k o ya bu̱' bai, ko ya makahuai,	kʌ ʌ ya bʌ̱ʌ bai, kʌ ʌ ya makahuai,
mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.	mi hudi da t'axka ra xudi ba ci, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka hai mra thuhu ra Yohualichan.	mi kut'a ra ñ'u ra makya ge'a mra befi mi zu nu'a ra maka hai mra tuhu ra Yohualichan.
mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi hä dega bo̱ja ne ya mahuai.	mi yʔo yʔua, mi tuhci ya bu̱ʔbai dega za, ne rʔa mi xä dega bo̱xa ne ya mahuaʔi.
mra ngu ra Aztautzin ge'a mi ja getbu̱ nuni ra Amáxac.	mra ngu ra Aztautzin ge'a mi xa getbũ nuni ra Amáxac.
n'a ra hyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱he̱.	n'a ra hyo ne mana bi xokuaʼbi ra debi. ra Cuauhtemoctzin bri xokuaʼbi ra debi ge a sehe.
ne m'e̱fa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri njonda ya bo̱nahmu nuni Acachinanco.	ne m'efa bi ma xki haki ya he dega magabi, ñatsi bi ntsaya ra mahuai ne ra bu'bai, bri njonda ya bonahmu nuni Acachinanco.
ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne njabų bri t'ot'e nehe ko mar'a ya bonahmu mi pe̱tsi ra t'ųka tsųtui ha ya t'ųka hnini, nuyu̱ to'o mi b'ėpi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bonahmu mar'a ya t'ųka hnini habų bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano
ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra hnini nuni puebla],	ne nü'a ri däme, pu ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra hnini nuni puebla]
