OTS	OTQ
mi b'u̱i ya mu̱dimejai mi ñä ra ndeznä ne jabu̱ ra jnini dige'a gatjo ra nxiki m'onda ngu r'a ya yaqui b'u̱i nuni sonora ne ya maya ri ñ'eje nuni yucatán ra nge bi guat'i ja ra tujni bi nkja nuua m'onda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.	mi bʼui ya mudimejai mi ñä ra ndeznä ne jabʼui ra jnini digeʼa gatjo ra nxiki mʼonda ngu rʼa ya yaqui bʼui nuni sonora ne ya maya ri ñʼeje nuni yucatán ra nge bi guatʼi ja ra tujni bi nkja nuua mʼonda fädi ko ra tjuju ra revolución mexicana ya kje̱ya 1910-1919.
mi fo̱tuabi ya ts'u̱tnibo̱kja mi tjutuabi ya jñämfo̱ ra pasadores neje ya bo̱zna ko ya nzafi.	mi fõtuaʼ ya cʼuʼtniʼkja mi cjutuaʼ ya ñä̃mfo ra pasadores nehe ya bozna ko ya nzafi
n'a nt'udi di ge'a nuya ntjoki bri t'o̱t'e ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱t'a ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla.	n'a nt'udi di ge'a nuya ntjoki bri t'o̱te ja ya jñä ya ndeznä ra ngätsi ra ntjebe nkje̱ya ra r'e̱ta ma gu̱to (s. xix), r'a ya jnini ngu ra xicontepec (villa juárez) nuna jyodi koji nuni puebla.
"n'a ra t'axa dutu mi pe̱tsi ya k'oi ra ixki, nuna mra tjuju jñämfo̱ ""campaneante resonador""."	"n'a ra t'aha dutu mi pe̱ci ya k'oi ra ixki, nuna mra tcuçu jñämfu ""campaneante resonador""."
ne ri mpe̱fi ja ra dängan gu nt'udi ra tjuju ra facultad de estudios superiores, acatlán, unam,	ne ri mpʼehi ja ra däŋgan gu nt'udi ra tcuçu ra facultad de estudios superiores, acatlán, unam,
ntjandi gatjo nu'a ra munts'i ra tjuju jñämfo̱ ra globalización ge 'a po̱ts'e dega nest'iji, nuna y'o̱te to̱m'i da nkja ra ntjo̱mäte.	ntjandi katjo nu'a ra munt'i ra tjuju ñämfo̱ ra globalización ge 'a po̱t'e dega nest'iji, nuna y'o̱te tom'i da nkia ra ntjomäte.
nu'a ma r'a ya kjä'i mi pädi nuña b'e̱fi bri b'e̱pabi xa jyoki yojo ya mpe̱fi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u̱ xi sta jotjo, gi jutsuabi made dige'a n'a ra zänä dega k'astabokja	nu'a ma r'a ya kjä'i mi pädi nuña b'efi bri b'epabi xa jyoki yojo ya mpëfi mi fädi ko ra tjuju ra amosqueador ko ya xi ya ts'ints'u xi sta jotjo, gi jutsuabi made digë'a n'a ra zänä dega k'astabokja
"nu'a ra munts'a kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra tjits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"	"nu'a ra munts'a kjä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya kjä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi kjapi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra tjuju ra josé maría lozano, bi y'onga ra jmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra tjits'i mi udi ra emiliano zapata, neje bri fädi ngu ra atila nuna bri nkju̱tsi [...] nu'a bi fädi ngu mi je̱gi ya b'e̱go ne'a bi mä da uni da nkja pa gatjo, ingi kjot'i [...]"
nu'u̱ to'o ñä ra ndenzä ja r'e̱t'a ma r'at'o ya estados.	nu'u to'o ñä ra ndežä ja r'et'a ma r'ato ya estados.
nub'u̱ ri m'e̱jni ne ri b'e̱go ya ñämfo̱ bi kjuat'i ko ngekagije ne bi tso̱jo̱ ra gabida ra tjuju ra hernán cortés, maske indi pädije ge gatjo da za da o̱t'e ne xi ra nzunda maría trinidad,	OTQ: nub'u ri m'ejni ne ri b'ego ya ñamfo bi kjuati ko ngekagije ne bi tsojo ra gabida ra tjuju ra hernán cortés, maske indi padije ge gatjo da za da ote ne xi ra nzunda maría trinidad,
nubia, unga mfädi ja ra ñäjñu kjamädi ra universidad autónoma del estado de hidalgo.	nubia, unga mfädi ja ra ñäjñu kjamädi ra universidad autónoma del estado de hidalgo.
nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱jnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla.	OTQ: nugi, ra miguel hernández ge di pe̱hci ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'ejnant'ofo di joki go tso̱n'i ko nge'i, ma t'ek'ei bo̱najmu'i nda doctor alonso ruiz, ra nk'ojnate ge gi b'ui nuua ja ra jnini ra quamochtitla.
nuna je̱m'i bri t'unga mfädi ko ra t'u̱ka ntjint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212.	nuna jem'i bri t'unga mfa̱di ko ra t'uka ntshint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ja: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, be̱de ra 3, pp. 193-212.
"nuna jñäpi juts'i ja n'a ra je̱m'i fädi ra derecho canonigo ko ra tjuju jñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"OTQ: nuna hñäpi juts'i ja n'a ra je̱m'i fädi ra derecho canonigo ko ra tjuju hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
nuna m'e̱jna nt'ofo b'e̱tsi ja ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ja ra nt'ofo ya zubi po ra y'ofo ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.	nuna m'ejna nt'ofu b'etsi xa ra archivo histórico nacional, madrid, documento 165. bi unga mfa'di xa ra nt'ofu ya zubi po ra y'ofu ra tjuju ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.
nuna nt'ofo b'e̱tsi ja ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ja cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.	nuna nt'ofi b'etsi ja ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fadi po ra miguel león-portilla ja cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.
nuna pika je̱m'i kja te mä b'e̱tsi ja ra archivo general de la nación, nuua m'onda ne kja ja ra nduntji ya jnini, njabu̱ ngu ya nzaya nuni manjyati ne mar'a ya jnini, o̱t'e gi o̱de ra jñä ra mu̱dimejai.	nuna pika jem'i kja te mä b'etsi ja ra archivo general de la nación, nuua m'onda ne kja ja ra ndutji ya jnini, njabu ngu ya nzaja nuni manjyati ne mar'a ya jnini, ote gi ode ra jña ra mudimejai.
nuua t'unga yojo ya jmä, kuän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäkjuäni ri ntje̱ui n'a ya dänga ra tju̱ajmä manteb'u̱, nuua pede nu'a gatjo ya ts'otjogi bi y'o̱t'a dega fete ra alvarado.	nuua t'unga yojo ya hmä, kwän'ajmä ya ndeznä ne tjuts'i ja n'a ra k'oi mä mäkjuni ri ntje̱ui n'a ya dänga ra tju̱ajmä manteb'u̱, nuua pede nu'a gatjo ya ts'otjogi bi y'o̱t'a dega fete ra alvarado.
nuua ya mu̱di noya ra motolinia, ja ra mu̱di nkoji bi t'o̱t'e ko ra tjuju ra tratado tercero ra dänga b´ede ya mu̱dimejai nuua r´ayo manjyati:	nuha ya mudi noya ra motolinia, ja ra mudi nkoji bi t'ote ko ra tjiju ra tratado tercero ra danga behe ya mudimejai nuha r'ayo manjyati
"pa da t'unga mfädi gatjo nu'u̱ bi nkja, n'a di ge'u̱ ko ngu fe̱ti nu'a makjuäni mi joki mi tjutsuabi ya jnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tjuju ""fe̱ta nu'a makjuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatyo nu'u bi nkya, n'a di ge'u ko ngu feti nu'a makyuäni mi yoki mi tyutsyabi ya ynei ne ya b'ida. b'u'i mana ra mfädi da t'o't'a ra nt'udi, nu'a ra tyuyu ""feta nu'a makyuäni bi nya nub'u ra tsykatty'o'tamfeni (teatro de la conquista)""."
ra europa -mra nxika jai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-	ra europa -mra nxika jai mante̱b'u, mi pe̱tsa n'a ra nxika b'e̱de-
ra fernando ramírez mä ge nuna jyodi ri nge̱pu̱ jabu̱ kja n'a ra nikja ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,	ra fernando ramírez mä ge nuna jyodi ri ngëpu jabu kja n'a ra nikya ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'eje ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämpho ne ra hudi ra nkaphri ra evangelio"""
ra kuän'ajma ra n luz jiménez bi juts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña jmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105	ra kuän'ajma ra n luz jiménez bi juts'i ra fernando horkasitas bi uŋga mfädi ne bi r'atsi nuña jmä, de porfirio díaz zapata, memoria náhuatl de milpa alta, méxico, unam, instituto de investigaciones históricas, 1974, p. 105
ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo	ra raymundo isidro alavez, bi b'ï'i nuni ra boxt'a chico, san salvador, estado de hidalgo
ra jmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.	ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.
ra makja mra tjuju ra toribio benavente, motolinia,	ra maxka mra txuxu ra toribio benavente, motolinia,
tlauhquechol: ra ts'ints'u̱ xa ntjeni pode ge'a ra flamenco o ra guacamaya, pode ge gatjo ra tje̱nga ts'ints'u̱ ne dänga.	OTQ: tlahkecho:l ra ts'ints'u xa ntjeni pode he'a ra flamenco o ra guacamaya, pode he gatyo ra che:nga ts'ints'u ne dangwa.
xkri tso̱ngä ngostji, kja jejni ya 'ñu; nä'ä rí ma nxamädo, ja nä'ä rí ma mäbo̱za. antes de	xkri tso̱ngä ngotsi, kya heyni ya 'nu; na'a ri ma nxamadu, ya na'a ri ma mabuza.
ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra tjuju ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas).	ya be̱go ne ya be̱tri di ge'a nu'a ra dangwa nda ra ndaha ra tjiju ra esteban de guzmán ra nzaja di gekua m'onda, ra ndaha ra hernando pimentel, ra ndaha ra antonio cortés, ra ndaha xuua (juan) nuna ra mecoyoacan, ra ndaha pedro motecuhzoma, me ma r'a ya kwa̱nmi (firmas).
ya kuän' ajmä xa tjogi manteb'u̱e ge xa tjäst'i nu'a gatjo ra ntjandi to'o bi b'e̱di ge xa pu̱ngajñä nuna jmä getbu̱ n'ate ya jñäki ge ñä ya nso̱jo̱ jñäki ne xa y'oni nuna nt'ofo neje ja ra jñäki yazi xada kjä'i , ge'a nuna jñäki fadi ja ra jñämfo ko ra tjuju ra sistema braile.	ya kuän' ajmä xa tjogi manteb'u̱e ge xa tjäst'i nu'a gatjo ra ntjandi to'o bi b'e̱di ge xa pungajñä nuna jmä getbu̱ n'ate ya jñäki ge ñä ya nso̱jo̱ jñäki ne xa y'oni nuna nt'ofo neje ja ra jñäki yazi xada kjä'i, ge'a nuna jñäki fadi ja ra jñämfo ko ra tjuju ra sistema braille.
ya r'atsanoya ra sahagán, ndoxkjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).	ya r'atsanuya ra sahagán, ndojkjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).
despwés ya desde k'a ra momento ya k'a ya jíngi bénya'wi já té bimáju̱ k'a ra charroya'wi	despwés ya desde k'a ra momento ya k'a ya xíngi bénya'wi xá té bimáju̱ k'a ra charroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ nchúi mitsu̱ k'a ra charro mi'óbí k'a ra mikwála	despwés ya xo bimfi pe xo diario diario bu nchui mitsu k'a ra charro miobi k'a ra mikwala
goparejájé primero 'á k'a ra parte ánk'ú dínant'í	OTQ: goparehájé primero 'a k'a ra parte ánk'ú dinánt'i
i asta fecha pues ignoro mucho pero másk'ŭ mäkjámá más ndímáignorajéwi	i asta fecha pues ignoro mucho pero másk'ŭ mäkjámá más ndímáignorajéwi
indu̱odiagí bastante	indu̱odiagí baste
inga se̱je̱ ra nntjandi ra manjyati ne ra portuguesa neje ra francesa, inglesa, alemana e italiana,	inga se̱je̱ ra ntjandi ra manjyati ne ra portuguesa neje ra francesa, inglesa, alemana e italiana,
k'a mädämé para ke mantenigíjé dígotjó mäbäjtsí pues ni modo dísufréjé	k'a mädamé para ke mantenijé digotjó mäbajtsí pues ni modo disujréjé
kómá'u̱té ya fuente níjí	kómá'u̱té ya fuente níhi
ne bi unbabi nduntji ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manjyati, ne da jäni ra dänga ts'ofo ra evangelio,	ne bi umbabi nduntji ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'ui nuni manjyati, ne da jäni ra dänga ts'ofi ra evangelio,
normalmente gójo	OTQ: normalmente gójo
panteón ga dó	pantéon ga dó
pero de sesenta pantsítjá pa gotjók'ŭ kompletamente xatjó ndímáfădijé	pero de sesenta pantsítjá pa gotjók'ŭ kompletamente xatjó ndímáfadijé
pero eso sí binújgí mängŭjé kada ná	pero eso sí binuxí mäŋuxé kada ná
"po nuya kja'i to'o mi pede ge fädi ko ra tjuju ya ""cronistas de las indias”"	"po nuya kja'i to'o mi pede ge fädi ko ra tcuçu ya ""cronistas de las indias”"
pues este kábádá balewa este mínimo siento sinkwenta	pues este kabáda balewa este míno siento sinkuenta
pues nimodo bisufré k'a más ante mäabwelitajé komo mbu̱i enkajoso ra ntsoya	pues nimodo bisufré k'a más ante mäbwelitajé komo mbu̱i enkajoso ra ntsoya
ra nku̱t'i ra juajni ne ya ñ'udi ntjutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.	ra nkut'i ra huaxni ne ya ñ'uhi ntjutse ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.
solamente ya riko alkansabi	OTQ: solamente ya riko alkasabi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedor 'á itsí na ta alimento k'a ra ndani
xo mitajá ra ntsoya mitá sínko pesos ra béjña dos sinkwenta	xõ mitajá ra ntsoya mitá síngko pesõs ra béjña dos sinkwenta
xo takja mä sesenta wik'a takja mä sesenta bitajkíjéya'wik'a	xö takya mä sesenta 'wik'a takya mä sesenta bitaxkíjeya'wik'a
á panteón ga dó níjí	á pantéon ga dó níjí
ñúdigejña dabadijíya' razo''ya' mientra más dandu̱jté	ñudigejña dabadjíya' razó'ya' mientra máj danduhté
-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra jyodi estado de méxico ne mar'a ya jyodi nuni puebla ne veracruz	-nu'u̱ dige'u̱ b'i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra jyodi estado de méxico ne mar'a ya jyodi nuni puebla ne veracruz
ne mätajekitjo di kja getbu̱, ra jñäpi ra joel martinez hernández ne ra jotjo tjuajmä ra natalio hernández xocoyotzin, nuya yojo ya xajnate ri ñ'eje ya y'u̱ dige'u̱ ya ndeznä.	ne majekitjo di kja getbu, ra jñäpi ra joel martinez hernández ne ra jotjo tjuajmä ra natalio hernández xocoyotzin, nuya yojo ya xajnate ri ñ'eje ya y'u dige'u ya ndeznä.
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma jñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi joki ra xihuitl o ""ra m'ede ra kje̱ya"""	"OTQ: -n'date pa n'a ra tsänä de ra r'et'a ma ñäto ""tsänä"" mi tsota ya munts'i ya n'date ya pa ge mi joki ra shiuitl o ""ra m'ede ra këya"""
bi ma di gepu̱ jam''u̱ ra ngo pa da ts'itje ya it'adeje (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra izcalli.	bi ma di gepʉ jamʉ ra ŋo pa da ts'itxe ya it'adeje (Tlahuano) ba pʉni nʉbʉ tlapečuan. mra ŋo ra izkali.
bi mu̱di da jyoka ya t'u̱kats'u̱fabo̱kja. ge'a ra ntujni bi nkja nuni Coyohuehuetzin ne ma gojo ba nkja.	bi mu̱di da dyoka ya t'ukats'ufabo̱kja. ge'a ra ntuxni bi nkya nuni Coyohuehuetzin ne ma gojo ba nkya.
bri tjo ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan.	OTQ: bri txo ra kwawnochtli, ra gabida tlakateko, ra kwapan, ra gabida witznawak, ra makya Amantlan, ne ra makya tlakopan.
bri ts'u̱tuabi ja ra y'u̱ga n'a ra nto̱de dega t'u̱ka joga do dega chalchihuite: made mi juts'i n'a ra tsant'i dega k'astabokja.	OTQ: bri ts'utuabi ja ra y'uga n'a ra ntode dega t'uka joga do dega chalchihuite: made mi juts'i n'a ra tsanti dega k'astabokja
Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala.	Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndo nuni tlaxcala.
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Coaíhuitl mra gabida ndežnä nuya mapa digeá ra t'o̱t'ats' okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya kjä'i ya metlatelolco	di ɣepu ba koi pa nuni ra Xochimilco. nubu ba tu ya kjä'i ya metlatelolco
ebu̱ ba eje man'aki ba te̱nga ra t'o̱jo̱ ra tjuju ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ja ra ndo̱m'ijmu.	OTQ: ebu ba ehe man'aki ba te̱nga ra t'o̱jo̱ ra tcuçu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i xa ra ndo̱m'ijmu.
ebu̱ bi dädi ra Cihuacóatl:	ebu̱ bi dädi ra Cihuacóatl
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl
gojo n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca).	gojo n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Wahtepek, ra Kwarnawak (Cuernavaca).
gue dá nhuat'i mbo kja ra ximjai,	OTQ: gwe dá ñuat'i mbo kya ra shimjai,
i nte ra nge'a, ya jmä juts'i ja ra ndäxkjua k'oi ra códice ra ramírez uni nuna b'e̱de mä makjuäni ngu mä ra ntje̱ka b'ede ne ra ndädi nu'a ra nänä mra tjuju ra yacotzin, ra nänä ra ixtlilxóchitl,	i nte ra ngä'a, ya hmä juts'i ja ra ndäxkjua k'oi ra códice ra ramírez uni nuna b'ëde mä makjuäni ngu mä ra ntjëka b'ede ne ra ndädi nu'a ra nänä mra tjiju ra yacotzin, ra nänä ra ixtlilxóchitl,
inda jyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl.	inda dyo ko ra ndäxwa ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl.
k o ya bu̱' bai, ko ya makahuai,	kʌ ɲa bu̱' bai, kʌ ɲa makahuai,
mi fudi da t'axka ra xudi ba ts'i, bri tját'a ja n'a ra za mi b'ai ja ra ngu ra Ahuizotzin nuni ra Acatliyacapan.	mi xudi da t'axka ra xudi ba ts'i, bri tját'a ja n'a ra za mi b'ai ja ra ngu ra Ahuizotzin nuni ra Acatliyacapan.
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka jai mra tjuju ra Yohualichan.	mi gu̱t'a ra ñ'u̱ n'a ra makya ge'a mra b'e̱fi mi zu nu'a ra mäka jai mra tjuju ra Yohualichan.
mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi jä dega bo̱ja ne ya mahuai.	mi y'ö y'ua, mi tuts'i ya bu̱'bäi dega za, ne r'ä mi jä dega bo̱ja ne ya mahuai.
mra ngu ra Aztautzin ge'a mi kja getbu̱ nuni ra Amáxac.	mra ngu ra Aztautzin ge'a mi kja getbu̱ nuni ra Amáxac → mra ngu ra Aztautzin ge'a mi kja getbũ nuni ra Amáxac
n'a ra jyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱je̱.	OTQ: n'a ra ʒyo ne mana bi xokabi ra devi. ra Cuauhtemoctzin bri xokabi ra devi ge'a sehe.
ne m'e̱fa bi ma xki jäki ya je dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri nkjonda ya bo̱najmu nuni Acachinanco.	ne m'efa bi ma xki jäki ya je dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu'bai, bri nkjonda ya bonajmu nuni Acachinanco.
ne nkjabu̱ bri t'ot'e neje ko mar'a ya bo̱najmu mi pe̱tsi ra t'u̱ka tsu̱tui ja ya t'u̱ka jnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca neje mar'a ya bo̱najmu mar'a ya t'u̱ka jnini jabu̱ bi guat'i ya nduste, ya dumantjuju dega k'astaboja, ge ya tjuju ya kristiano [...]	ne nkjabu̱ bri t'ote neje ko mar'a ya bonajmu mi petsi ra t'uka tsutui ja ya t'uka jnini, nuyu̱ to'o mi bepi da t'ote ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca neje mar'a ya bonajmu mar'a ya t'uka jnini jabu bi gwati ya nduste, ya dumantyuju dega k'astaboja, ge ya tyu tyu ya kristiano
ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra jnini nuni puebla],	ne nua ri däme, pu ñai, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [ña ra jnini nuni puebla],
