OTQ	OTS
"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"
nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u̱ to'o ñä ra nde̱nzä ha r'e̱t'a ma r'at'o ya estados.
nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,	nts'u̱ ri m'ehni ne ri b'ego ya ñamfo̱ bi huat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra tuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,
nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo.	nubia, unga mfädi ha ra ñähñü jamädi ra universidad autónoma del estado de hidalgo.
nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.	nugi, ra miguel hernández ge di pe̱hci ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'ehnantofo di hoki go tso̱ni ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.
nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212.	nuna hem'i bri t'unga mfa̱di ko ra t'uka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, be̱de ra 3, pp. 193-212.
"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"OTS: nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.	nuna m'ehna nt'oho b'etsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfaadi ha ra nt'oho ya zubi po ra y'oho ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.
nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.	OTS: nuna nt'ofi b'etsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fadi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.
nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai.	nuna pika hem'i ja te ma be̱tsi ha ra archivo general de la nación, nuua monda ne ja ha ra nduthi ya hini, njabu̱ ngu ya nzaja nuni manjati ne mar'a ya hini, o̱te gi o̱de ra hña ra mudimejai.
nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado.	nuua t'unga yoho ya hmä, kuan'hmä ya ndeznä ne tuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dangai ra thu̱ahmä mante̱b'u, nuua pede nu'a gatho ya ts'otogi bi y'ot'a dega fete ra alvarado.
nuua ya mu̱di noya ra motolinia, ha ra mu̱di nkohi bi t'o̱t'e ko ra thuhu ra tratado tercero ra dänga b´ede ya mu̱dimehai nuua r´ayo manhyati:	nuha ya mɨdi noya ra motolinia, ha ra mɨdi nkohi bi t'ɨt'ɨ ko ra thuho ra tratado tercero ra dɑŋɑ b'eɑe ya mɨdimehai nuha r'ayo manhyati
"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu fe̱ti nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fe̱ta nu'a majuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatho nu'u bi nja, n'a di ge'u ko ngu fe̱ti nu'a majuäni mi hoki mi tsutsuabi ya hnei ne ya b'ida. b'u man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra tsuhu ""fe̱ta nu'a majuäni bi nja nub'u ra tsokat'o̱tamfeni (teatro de la conquista)""."
ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-	ra europa -mra ɲxika hai manteḅ'u, mi pe̱tsa n'a ra ɲxika b'ede-
ra fernando ramírez mä ge nuna hyodi ri nge̱pu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,	ra fernando ramírez mä ge nuna hyodi ri nge̱bu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñäm̱fo ne ra fu̱di ra ŋkanfri ra evangelio"""
ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105	ra kuähn'ama ra n luz jiménez bi huts'i ra fernando horkasitas bi uŋa mfädi ne bi r'atsi nuña hmä, de porfirio díaz zapata, memoria náhuatl de milpa alta, méxico, unam, instituto de investigaciones históricas, 1974, p. 105
ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo	ra raymundo isidro alavez, bi b'ĩ'ĩ nuni ra boxtʰa chico, san salvador, estado de hidalgo
ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.	ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r - 260 v.
ra makja mra thuhu ra toribio benavente, motolinia,	ra makja mra thuho ra toribio benavente, motolinia,
tlauhquechol: ra ts'ints'u̱ xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra the̱nga ts'ints'u̱ ne dänga.	tlauhkechol: ra ts'ints'u xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra thega ts'ints'u ne danga.
xkri tso̱ngä ngosthi, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za. antes de	xkri tso̱ngä ngoshti, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za
ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas).	ya b'ego ne ya b'etri di ge'a nu'a ra dangwa nda ra ndaha ra tuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndaha ra hernando pimentel, ra ndaha ra antonio cortés, ra ndaha xuua (juan) nuna ra mecoyoacan, ra ndaha pedro motecuhzoma, me ma r'a ya kuanmi (firmas).
ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile.	ya kuän' ahma xa togi manteb'u̱e ge xa t'äst'i nu'a gatho ra nt'andi to'o bi b'edi ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i, ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braille.
ya r'atsanoya ra sahagán, ndoxjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).	ya r'atsanuya ra sahagán, ndojua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.)
despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra txarroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu k'a ra txarroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ ntxúi mitsu̱ k'a ra txarro mi'óbí k'a ra mikwála	despwés ya xo bimfi pe xo diario diario bu ntxui mitsu k'a ra txarro miobi k'a ra mikwala
gopareháhé primero 'á k'a ra parte ánk'ú dínant'í	OTS: goparehahé primero 'a k'a ra parte ank'ú dinant'i
i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi	i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi
indu̱odiagí bastante	indu̱odiagí baste
inga se̱he̱ ra nnthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,	inga sehe ra nthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,
k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé	k'a mädamé para ke mantenijé dígotó mäbäjtsi pues ni modo disujré
kómá'u̱té ya fuente níhí	kómá'u̱té ya fuente níhi
ne bi unbabi ndunthi ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio,	ne bi umbabi ndunthi ya baba, bi enbabi ge mi ne da ñäi ra ndä (emperador) mi b'ui nuni manhyati, ne da häni ra dänga ts'ofi ra evangelio,
normalmente góho	OTS: normalmente góxo
panteón ga dó	pantéon ga dó
pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé	pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfadihé
pero eso sí binúhgí mängŭhé kada ná	pero eso sí binhgí mănhé kada ná
"po nuya ja'i to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""	"po nuya xai to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""
pues este kábádá balewa este mínimo siento sinkwenta	pues este kabáḏá balewa este míno siento sinkwenta
pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bisufré k'a más ante mäbwelitahé komo mbu̱i enkaxoso ra ntsoya
ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.	ra ŋku̱t'i ra huahni ne ya ŋ'udi nt'hutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.
solamente ya riko alkansabi	OTS: solamente ya riko alkasabi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra tí na ta komedor 'á itsí na ta alimento k'a ra ndani
xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	xo mitaha ra ntsoya mita sinko pesos ra beña dos sinkuenta
xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a	xo taya mä sesenta 'wik'a taya mä sesenta bitaxkíhéya 'wik'a
á panteón ga dó níhí	á pantéon ga dó níhí
ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñúdigeña dabadihí dazo''ya' mientra más dandu̱hte
-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra hyodi estado de méxico ne mar'a ya hyodi nuni puebla ne veracruz	-nu'u̱ dige'u̱ b'u̱i nuni maxei (tolimán ne amealco), dige'u̱ temoaya nuni ra ra hyodi Estado de México ne mar'a ya hyodi nuni Puebla ne Veracruz
ne mätahekitho di ja getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä.	ne mätahekitho di ja getbų, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u dige'u ya ndeznä.
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma hñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi hoki ra xihuitl o ""ra m'ede ra je̱ya"""	"-n'ate pa n'a ra tsänä de ra r'ets'a ma hñäto ""tsänä"" mi tsota ya munts'i ya n'ate ya pa ge mi hoki ra shiuitl o ""ra m'ede ra hey'a"""
bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra Izcalli.	bi ma di ɣepu̱ ham''u̱ ra ŋo pa da ts'itʰe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapetʰuan. mra ŋo ra Izcalli.
bi mu̱di da hyoka ya t'u̱kats'u̱fabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.	bi mu̱di da hyoka ya t'ukats'ufabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.
bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan.	OTS: bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida witznáhuac, ra makja Amantlan, ne ra makja tlacopan.
bri ts'u̱tuabi ha ra y'u̱ga n'a ra nto̱de dega t'u̱ka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja.	bri ts'utuabi ha ra y'uga n'a ra ntode dega t'uka hoga do dega chalchihuite, made mi huts'i n'a ra tsanti dega k'astaboja.
Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala.	Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndo nuni tlaxcala.
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Coaíhuitl mra gabida ndežnä nuya mapa digeá ra t'ot'ats' okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya jä'i ya metlatelolco	di ɣepu ba koi pa nuni ra Xochimilco. nubu ba tu ya xä'i ya metlatelolco
ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	OTS: ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuho ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.
ebu̱ bi dädi ra Cihuacóatl:	OTS: ebu̱ bi dädi ra Cihuacóatl
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	OTS: ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl
goho n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca).	goxo n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca).
gue dá nhuat'i mbo ja ra ximhai,	OTS: gwe dá ñuat'i mbo xa rim ximhai,
i nte ra nge'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,	i nte rang'a, ya hmä huts'i ha ra ndäxua k'oi ra códice ra ramírez uni nuna b'ëde mä majuañi ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thu'u ra yacotzin, ra nänä ra ixtlilxóchitl,
inda hyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl.	inda hyo ko ra ndäxhua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra Fernando de Alva Ixtlilxóchitl.
k o ya bu̱' bai, ko ya makahuai,	OTS: kʌ ɲa bu̱' bai, kʌ ɲa makahuai,
mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.	mi hudi da t'axka ra xudi ba c'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka hai mra thuhu ra Yohualichan.	mi gu̱t'a ra ñ'ü n'a ra makya ge'a mra b'efi mi zu nu'a ra mäka hai mra thuho ra Yohualichan.
mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi hä dega bo̱ja ne ya mahuai.	mi y'ö y'ua, mi tuts'i ya bu̱'bai dega za, ne r'ä mi hä dega bo̱ja ne ya mahuai.
mra ngu ra Aztautzin ge'a mi ja getbu̱ nuni ra Amáxac.	mra ngu ra Aztautzin ge'a mi xa getbũ nuni ra Amáxac.
n'a ra hyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱he̱.	n'a ra hyo ne man'a bi xokabi ra debi. ra Cuauhtemoctzin bri xokabi ra debi ge'a sehe.
ne m'e̱fa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri njonda ya bo̱nahmu nuni Acachinanco.	ne m'efa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu'bai, bri njonda ya bonahmu nuni Acachinanco.
ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne njabu̱ bri t'ote nehe ko mar'a ya bonahmu mi petsi ra tu̱ka tsutui ha ya tu̱ka hnini, nuyu̱ to'o mi be̱pi da tote ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bonahmu mar'a ya tu̱ka hnini habu̱ bi guati ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]
ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra hnini nuni puebla],	ne nua ri däme, pu ñai, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [ña ra hnini nuni puebla],
