INALI	OTS
"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra josé maría lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra emiliano zapata, nehe bri fädi ngu ra atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"	"nu'a ra munts'a jä'i bi te̱ni bi zipabi man'a ya b'ede, mi t'ena ge ya jä'i xki b'u̱i nubu̱ inbi pe̱tsi ra ts'e̱di nu'a mi mä pe m'e̱fa bi japi bi nxaxni ya tsu̱tui ne n'a ra diputado mi pe̱tsi ra mfeni xki kot'i mra thuhu ra José María Lozano, bi y'onga ra hmä pa mar'a ya ñ'oui bi nxanxi: ""ri mo̱te ra thits'i mi udi ra Emiliano Zapata, nehe bri fädi ngu ra Atila nuna bri nju̱tsi [...] nu'a bi fädi ngu mi he̱gi ya b'e̱go ne'a bi mä da uni da nja pa gatho, ingi jot'i [...]"
nu'u̱ to'o ñä ra ndenzä ha r'e̱t'a ma r'at'o ya estados.	nu'u to'o ñä ra nthe̱nthe̱ ha r'et'a ma r'at'o ya estados.
nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,	nub'u̱ ri m'e̱hni ne ri b'e̱go ya ñämfo̱ bi juat'i ko ngekagihe ne bi tso̱ho̱ ra gabida ra thuhu ra hernán cortés, maske indi pädihe ge gatho da za da o̱t'e ne xi ra nzunda maría trinidad,
nubia, unga mfädi ha ra ñähñu jamädi ra universidad autónoma del estado de hidalgo.	nubia, 'nga mfädi ha ra ñañu jamädi ra universidad autónoma del estado de hidalgo.
nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.	nugi, ra miguel hernández ge di pe̱tsi ma ngu nuni chiyauhtzinco, ko ra t'ek'ei di udi ko nge'i, nuna m'e̱hnant'ofo di hoki go tso̱n'i ko nge'i, ma t'ek'ei bo̱nahmu'i nda doctor alonso ruiz, ra nk'ohnate ge gi b'ui nuua ha ra hnini ra quamochtitla.
nuna he̱m'i bri t'unga mfädi ko ra t'u̱ka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212.	nuna häm'i bri t'unga mfädi ko ra t'uka nthint'ant'ofo po ra marcelo díaz salas ne ra luis reyes garcía ha: tialtocan, revista de fuentes para el conocimiento de las culturas indígenas de méxico, vol. vi, 1970, b'ede ra 3, pp. 193-212.
"nuna hñäpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu hñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."	"nuna ñämpi huts'i ha n'a ra he̱m'i fädi ra derecho canonigo ko ra thuhu ñämfo̱ ngu ra ""solicitación al administrar el sacramento de la confesión""."
nuna m'e̱hna nt'ofo b'e̱tsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.	nuna m'ehna nt'ofo b'etsi ha ra archivo histórico nacional, madrid, documento 165. bi unga mfädi ha ra nt'ofo ya zubi po ra y'ofo ra thuhu ra arthur j. o. anderson et al.: byond the codices: the nahua view of colonial mexico, berkeley, university of california press, 1976, pp. 181-187.
nuna nt'ofo b'e̱tsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga dra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.	nuna nt’otho b’ëtsi ha ra archivo general de indias, sevilla, audiencia de méxico 168, bi unga ra fädi po ra miguel león-portilla ha cultura en peligro, méxico, alianza editorial mexicana, 1976, pp. 102-103.
nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuua m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai.	nuna pika he̱m'i ja te mä b'e̱tsi ha ra archivo general de la nación, nuwa m'onda ne ja ha ra ndunthi ya hnini, njabu̱ ngu ya nzaya nuni manhyati ne mar'a ya hnini, o̱t'e gi o̱de ra hñä ra mu̱dimehai.
nuua t'unga yoho ya hmä, kuän'ahmä ya ndeznä ne thuts'i ha n'a ra k'oi mä mäjuäni ri nthe̱ui n'a ya dänga ra thu̱ahmä manteb'u̱, nuua pede nu'a gatho ya ts'othogi bi y'o̱t'a dega fete ra alvarado.	nuwa t'unga yoho ya hmä, kuän'ahmä ya ndezna ne thuts'i ha n'a ra k'oi mä mäjuani ri ntheui n'a ya dänga ra thuahmä mantebu, nuwa pede nu'a gatho ya ts'othogi bi y'ot'a dega fete ra alvarado.
nuua ya mu̱di noya ra motolinia, ha ra mu̱di nkohi bi t'o̱t'e ko ra thuhu ra tratado tercero ra dänga b´ede ya mu̱dimehai nuua r´ayo manhyati:	nuwa ya mudi noya ra motolinia, ha ra mudi nkohi bi t'ot'e ko ra thuhu ra tratado tercero ra dänga b'ede ya mudimehai nuwa r'ayo manhyati:
"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu fe̱ti nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fe̱ta nu'a majuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."	"pa da t'unga mfädi gatho nu'u̱ bi nja, n'a di ge'u̱ ko ngu fethi nu'a majuäni mi hoki mi thutsuabi ya hnei ne ya b'ida. b'u̱i man'a ra mfädi da t'o̱t'a ra nt'udi, nu'a ra thuhu ""fetha nu'a majuäni bi nja nub'u̱ ra tsokat'o̱tamfeni (teatro de la conquista)""."
ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-	ra europa -mra nxika hai manteb'u̱, mi pe̱tsa n'a ra nxika b'ede-
ra fernando ramírez mä ge nuna hyodi ri nge̱pu̱ habu̱ ja n'a ra nija ra san fernando ne ra ermita dige'a ya mártires dige'a san hipólito,	ra Fernando Ramírez mä ge nuna hyodi ri nge̱pu̱ habu̱ ja n'a ra nija ra San Fernando ne ra Ermita dige'a ya Mártires dige'a San Hipólito,
"ra fernando de alva ixtlilxóchitl, fernando de, xiii relación: ""ra ñ'ehe ya ñämfo̱ ne ra fu̱di ra nkanfri ra evangelio""."	"ra Fernando de Alva Ixtlilxóchitl, Fernando de, XIII Relación: ""ra ñ'ehe ya ñämfo̱ ne ra fu̱di ra nkanfri ra Evangelio""."
ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria nábuatl de milpa alta, méxico, unam,, instituto de investigaciones históricas, 1974, p. 105	ra kuän'ahma ra n luz jiménez bi huts'i ra fernando horkasitas bi unga mfädi ne bi r'atsi nuña hmä), de porfirio díaz zapata, memoria náhuatl de milpa alta, méxico, unam, instituto de investigaciones históricas, 1974, p. 105
ra raymundo isidro alavez, bi b'u̱i'i nuni ra boxtha chico, san salvador, estado de hidalgo	ra raymundo isidro alavez, bi b’ui’i nuni ra bok’ta txiko, san salvador, estado de hidalgo
ra hmä ra fundación de santo tomás ajusco, archivo general de la nación, méxico, ramo de tierras vol. 2676, expediente. 4, archivo histórico de la biblioteca nacional de antropología, colección antigua, vol. 254, fojas 259 r.- 260 v.	ra hmä ra Fundación de Santo Tomás Ajusco, Archivo General de la Nación, México, Ramo de Tierras vol. 2676, expediente. 4, Archivo Histórico de la Biblioteca Nacional de Antropología, Colección Antigua, vol. 254, fojas 259 r.- 260 v.
ra makja mra thuhu ra toribio benavente, motolinia,	ra makxa mra thuhu ra toribio benavente, motolinia,
tlauhquechol: ra ts'ints'u̱ xa ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gatho ra the̱nga ts'ints'u̱ ne dänga.	tlauhquechol: ra tsintsu̱ ja ntheni pode ge'a ra flamenco o ra guacamaya, pode ge gato ra the̱nga tsintsu̱ ne dänga.
xkri tso̱ngä ngosthi, ja hehni ya 'ñu; nä'ä rí ma nxamädo, ha nä'ä rí ma mäbo̱za. antes de	xkri tso̱ngä ngosthi, ja heni ya ñu; nä'ä ri ma nxamädo, ha nä'ä ri ma mäbo̱za. antes de
ya b'e̱go ne ya b'e̱tri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas).	ya bägo ne ya bätri di ge'a nu'a ra dänga ndä ra ndada ra thuhu ra esteban de guzmán ra nzaya di gekua m'onda, ra ndada ra hernando pimentel, ra ndada ra antonio cortés, ra ndada xuua (juan) nuna ra mecoyoacan, ra ndada pedro motecuhzoma, me ma r'a ya kuänmi (firmas).
ya kuän' ahmä xa thogi manteb'u̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getbu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i , ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braile.	ya kuän' ahmä xa thogi mantebu̱e ge xa thäst'i nu'a gatho ra nthandi to'o bi b'e̱di ge xa pu̱ngahñä nuna hmä getu̱ n'ate ya hñäki ge ñä ya nso̱ho̱ hñäki ne xa y'oni nuna nt'ofo nehe ha ra hñäki yazi xada jä'i, ge'a nuna hñäki fadi ha ra hñämfo ko ra thuhu ra sistema braille.
ya r'atsanoya ra sahagán, ndoxjua k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).	ya rätsanoya ra sahagán, ndoxhüa k'oi florentino, lib. xii, caps. xxix-xli (versión de ángel ma. garibay k.).
despwés ya desde k'a ra momento ya k'a ya híngi bénya'wi já té bimáhhu̱ k'a ra charroya'wi	despwés ya desde k'a ra momento ya k'a ya híngi béñawi ja te bimáhhu̱ k'a ra charroya'wi
despwés ya xo bimu̱fí pe xo diario diario bu̱ nchúi mitsu̱ k'a ra charro mi'óbí k'a ra mikwála	despwés ya xo bimu̱fí pe xo diario diario bu̱ nchúi mitsu̱ k'a ra charro mi'obi k'a ra mikwála
gopareháhé primero 'á k'a ra parte ánk'ú dínant'í	gopareháhe primero 'a k'a ra parte 'ank'u dinant'i
i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndímáignorahéwi	i asta fecha pues ignoro mucho pero másk'ŭ mäjámá más ndí má ignora héwi
indu̱odiagí bastante	indu̱hodiagí bastante
inga se̱he̱ ra nnthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,	inga zehe ra nthandi ra manhyati ne ra portuguesa nehe ra francesa, inglesa, alemana e italiana,
k'a mädämé para ke mantenigíhé dígothó mäbähtsí pues ni modo dísufréhé	k'a mädämé para ke mantenigíhé dígothó mäbät'i pues ni modo dísufréhé
kómá'u̱té ya fuente níhí	kómá'ute ya fuente níhí
ne bi unbabi ndunthi ya baba, bi enbabi ge mi ne da ñäui ra ndä (emperador) mi b'u̱i nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio,	ne bi unbabi ndunthi ya baba, bi enbabi ge mi ne da ñäwi ra ndä (emperador) mi b'ui nuni manhyati, ne da häni ra dänga ts'ofo ra evangelio,
normalmente góho	normalmente gǫhǫ
panteón ga dó	pantheon ga do
pero de sesenta pantsíthá pa gothók'ŭ kompletamente xathó ndímáfădihé	pero de sesenta pantsíthä pa gothoki kompletamente xathó ndímáfädihe
pero eso sí binúhgí mängŭhé kada ná	pero eso sí binuhgi mänguhe kada na
"po nuya ja'i to'o mi pede ge fädi ko ra thuhu ya ""cronistas de las indias"""	"po nuya ja'i to'o mi pe̱de ge fädi ko ra thuhu ya ""cronistas de las indias"""
pues este kábádá balewa este mínimo siento sinkwenta	pues este kábada balewa este mínimo siento sinkwenta
pues nimodo bisufré k'a más ante mäabwelitahé komo mbu̱i enkahoso ra ntsoya	pues nimodo bi sufre k'a más ante mä abwelitahé komo mbui enka hoso ra nts'oya
ra nku̱t'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.	ra nkut'i ra huahni ne ya ñ'udi nthutsi ra agustin yáñez 2da. edición. biblioteca del estudiante universitario, unam, 1950.
solamente ya riko alkansabi	Solamente ya riko alkansabi
xi ra tí na ta komedór 'á itsí na ta alimento k'a ra ndăni	xi ra ti na ta komedor 'a itsi na ta alimento k'a ra ndäni
xo mitahá ra ntsoya mitá sínko pesos ra béhña dos sinkwenta	xo̱ mit'aha̱ ra nts'o̱ya mit'a̱ 5 pesos ra be̱hña 2 50
xo taja mä sesenta wik'a taja mä sesenta bitahkíhéya'wik'a	xo t'aja ma sesenta wika t'aja ma sesenta bitahkiheya'wika
á panteón ga dó níhí	a pantheon ga do nihi
ñúdigehña dabadihíya' razo''ya' mientra más dandu̱hté	ñudi̱gehna dabadihi̱ya' razo̱'ya' miandra más dandu̱hte
-nu'u̱ dige'u̱ b'u̱i nuni maxey (tolimán ne amealco), dige'u̱ temoaya nuni ra ra hyodi estado de méxico ne mar'a ya hyodi nuni puebla ne veracruz	-nuhu digehu b'ui nuni maxei (tolimán ne amealco), digehu temoaya nuni ra ra hioti estado de méxico ne mar'a ya hioti nuni puebla ne veracruz
ne mätahekitho di ja getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä.	ne mätahekitho di ha getbu̱, ra hñäpi ra joel martinez hernández ne ra hotho thuahmä ra natalio hernández xocoyotzin, nuya yoho ya xahnate ri ñ'ehe ya y'u̱ dige'u̱ ya ndeznä.
"-n'ate pa n'a ra zänä de ra r'e̱t'a ma hñäto ""zänä"" mi zo̱ta ya munts'i ya n'ate ya pa ge mi hoki ra xihuitl o ""ra m'ede ra je̱ya"""	"-nate pa na ra zänä de ra reta ma ñätho ""zänä"" mi zotha ya muntsi ya nate ya pa ke mi hoki ra xihuitl o ""ra mede ra jeya"""
bi ma di gepu̱ ham''u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. mra ngo ra Izcalli.	OTS: Bi ma di gepu̱ ham'u̱ ra ngo pa da ts'ithe ya it'adehe (Tlahuano) ba po̱ni nubu̱ tlapechhuan. Mra ngo ra Izcalli.
bi mu̱di da hyoka ya t'u̱kats'u̱fabo̱ja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.	bi mudi da hioca ya t'ukats'ufaboja. ge'a ra ntuhni bi nja nuni Coyohuehuetzin ne ma goho ba nja.
bri tho ra cuauhnochtli, ra gabida tlacatecco, ra cuapan, ra gabida huitznáhuac, ra makja Amantlan, ne ra makja tlacopan.	bri tho ra kuauhnuchtli, ra gabida tlakateko, ra kuapan, ra gabida witznahuak, ra makja Amantlan, ne ra makja tlakopan.
bri ts'u̱tuabi ha ra y'u̱ga n'a ra nto̱de dega t'u̱ka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja.	bri ts'utuabi ha ra y'uga n'a ra ntode dega t'uka hoga do dega chalchihuite: made mi huts'i n'a ra tsant'i dega k'astaboja.
Castañeda, ra t'u ra Aquiyahualcatecuhtli, m ra ndä nuni tlaxcala.	Castañeda, ra t’ú ra Aküyahualkatekuhtli, m ra ndä nuni Tlaxkala.
Coaíhuitl mra gabida ndeznä nuya mapa digeá ra t'o̱t'ats' okamfeni.	Coaihui mra kabida ndezna nuya mapa digea ra t'ot'ats' okamfeni.
di gepu̱ ba koi pa nuni ra Xochimilco. nubu̱ ba tu ya jä'i ya metlatelolco	di hñepu̱ ba ko'i pa nuni ra Xochimilco. nu'bü̱ ba tu ya jä'i ya Metlatelolco
ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.	ebu̱ ba ehe man'aki ba te̱nga ra t'o̱ho̱ ra thuhu ra Citlaltépec. Tlacopan, nubia ba o̱t'ra b'u̱i ha ra ndo̱m'ihmu.
ebu̱ bi dädi ra Cihuacóatl:	ebu̱ bi dädi ra Cihuacóatl:
ebu̱ bi ñä ra Cuauhtémoc bi xipabi ra Cihuacóatl:	ebu̱ bi ñä ra Kuauhtémoc bi xipabi ra Kihuakóatl:
goho n'ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepec, ra Cuauhnahuac (Cuernavaca).	Goho n’ate ya pa ne ebu̱ bi yopa bo̱ni pa di mani ra Huaxtepeki, ra Kuauhnawak (Cuernavaca).
gue dá nhuat'i mbo ja ra ximhai,	OTS: nge dá ñu'át'i mbo ha ra ximhai,
i nte ra nge'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,	i nte ra nge'a, ya hmä huts'i ha ra ndäxjua k'oi ra códice ra ramírez uni nuna b'e̱de mä majuäni ngu mä ra nthe̱ka b'ede ne ra ndädi nu'a ra nänä mra thuhu ra yacotzin, ra nänä ra ixtlilxóchitl,
inda hyo ko ra ndäxjua ixtlilxóchtil, ra dada ra Nezahualcóyotl ni ko ra fernando de alva ixtlilxóchitl.	Inda hyo ko ra Ndäxjua Ixtlilxóchtil, ra Dada ra Nezahualcóyotl ni ko ra Fernando de Alva Ixtlilxóchitl.
k o ya bu̱' bai, ko ya makahuai,	Kudi ya bu̱' vai, ku̱di ya makahuai,
mi fudi da t'axka ra xudi ba ts'i, bri thát'a ha n'a ra za mi b'ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.	mi fudi da t’axka ra xudi ba ts’i, bri thát’a ha n’a ra za mi b’ai ha ra ngu ra Ahuizotzin nuni ra Acatliyacapan.
mi gu̱t'a ra ñ'u̱ n'a ra makja ge'a mra b'e̱fi mi zu nu'a ra mäka hai mra thuhu ra Yohualichan.	mi ngúta ra ñ'ú na ra makxa ge'a mra b'efi mi zu nú'a ra mäka hai mra thuhu ra Yohualichan.
mi y'o y'oua, mi tuts'i ya bu̱'bai dega za, ne r'a mi hä dega bo̱ja ne ya mahuai.	mi y'o y'owa, mi t'uts'i ya bu'bai dega za, ne ra mi hä dega boja ne ya mahuai.
mra ngu ra Aztautzin ge'a mi ja getbu̱ nuni ra Amáxac.	mra ngu ra Aztawts'i ge'a mi ha get'bu̱ nuni ra Amáxak.
n'a ra hyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱he̱.	n'a ra hyo ne man'a bi xokuabi ra debi. ra Cuauhtemoctzin bri xokuabi ra debi ge'a se̱he̱.
ne m'e̱fa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu̱'bai, bri njonda ya bo̱nahmu nuni Acachinanco.	ne m'efa bi ma xki häki ya he dega magabi, ñätsi bi ntsaya ra mahuai ne ra bu'bai, bri njonda ya bonahmu nuni Acachinanco.
ne njabu̱ bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka hnini, nuyu̱ to'o mi b'e̱pi da t'o̱t'e ngu nuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka hnini habu̱ bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]	ne ña̱hño bri t'ot'e nehe ko mar'a ya bo̱nahmu mi pe̱tsi ra t'u̱ka tsu̱tui ha ya t'u̱ka ñini, ñu̱hmu to'o mi b'e̱pi da t'o̱t'e ngu ñuni Xalapan, Tlaxcalan, Tehuantepec, Oaxaca nehe mar'a ya bo̱nahmu mar'a ya t'u̱ka ñini ha̱bu bi guat'i ya nduste, ya dumanthuhu dega k'astaboja, ge ya thuhu ya kristiano [...]
ne nu'a ri däme, pu̱ ñ'a'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [n'a ra hnini nuni puebla],	ne nu'a ri dame, pu̱ ña'i, nugi ga ma ga tsogi'i nuni Cuetlachcoapan [ña ra hnini nuni Puebla],
